Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,50.0,25.614559950171202,0.6102606217853156,0.7811917957744536,24.982668466762785,27.431866879263964,0.01,0.256145599501712,0.007811917957744541,0.24982668466762786,0.27431866879263966
15,1,1000.0,50.0,25.249240794651612,0.3188899181281925,0.5647033895136389,24.592354711889683,26.40025704005782,0.015,0.3787386119197742,0.008470550842704604,0.36888532067834523,0.39600385560086726
20,1,1000.0,50.0,23.661161319848954,0.18069217637440063,0.42507902368195094,23.03541058178304,24.281719311347093,0.02,0.4732232263969791,0.008501580473638998,0.46070821163566084,0.4856343862269419
25,1,1000.0,50.0,21.300488552604318,0.05233732247162511,0.22877351785472266,20.925560529028292,21.699174562674607,0.025,0.5325122138151079,0.005719337946368036,0.5231390132257073,0.5424793640668651
30,1,1000.0,50.0,18.720189517501215,0.10664410436515492,0.326564089215509,18.308534291840445,19.263198129108467,0.03,0.5616056855250364,0.00979692267646529,0.5492560287552133,0.5778959438732539
35,1,1000.0,50.0,16.48851182550323,0.1253367960060322,0.3540293716713801,15.99066388912716,16.983891942554745,0.035,0.5770979138926131,0.012391028008498355,0.5596732361194506,0.5944362179894161
40,1,1000.0,50.0,14.261084493362693,0.0872209143022183,0.2953318714636439,13.9784366947975,14.661712032742992,0.04,0.5704433797345078,0.011813274858545731,0.5591374677919,0.5864684813097197
45,1,1000.0,50.0,12.244961299540211,0.01381279765462742,0.11752785905744825,12.061031627691868,12.443110972140115,0.045,0.5510232584793094,0.005288753657585128,0.5427464232461341,0.5599399937463051
50,1,1000.0,50.0,10.693295716755758,0.021621571713668426,0.14704275471327524,10.508996947584285,11.00702552283057,0.05,0.534664785837788,0.0073521377356637625,0.5254498473792143,0.5503512761415286
55,1,1000.0,50.0,9.262110298443714,0.013889371036171565,0.11785317575768404,9.109420398754049,9.44115538337039,0.055,0.5094160664144043,0.0064819246666726294,0.5010181219314727,0.5192635460853714
60,1,1000.0,50.0,8.077426649102126,0.01920559313310839,0.13858424561655047,7.839079893241348,8.214229157887937,0.06,0.4846455989461275,0.008315054736993028,0.4703447935944809,0.4928537494732762
