Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000,0,25.53991468628324,0.30842477262443635,0.5553600387356263,24.99352984916671,26.45244844714776,0.01,0.2553991468628324,0.0055536003873562665,0.2499352984916671,0.2645244844714776
15,1,1000,0,24.959496569487275,0.06659527088361773,0.2580605953717416,24.510604591229548,25.156601947860988,0.015,0.3743924485423091,0.0038709089305761267,0.3676590688684432,0.3773490292179148
20,1,1000,0,23.37537023677057,0.07045581030333144,0.26543513389024337,23.0676535193387,23.751791142661965,0.02,0.46750740473541147,0.005308702677804887,0.461353070386774,0.4750358228532393
25,1,1000,0,21.552867423373392,0.2443281887887429,0.49429564917035523,20.95516426525971,22.183236874783578,0.025,0.5388216855843349,0.012357391229258866,0.5238791066314928,0.5545809218695895
30,1,1000,0,19.051732867578043,0.06916054299681779,0.2629839215557061,18.66188582258256,19.372336596013373,0.03,0.5715519860273413,0.007889517646671191,0.5598565746774767,0.5811700978804012
35,1,1000,0,16.466222287882157,0.01670230152200168,0.1292373843823902,16.28656859914064,16.573238283711742,0.035,0.5763177800758756,0.004523308453383667,0.5700299009699225,0.580063339929911
40,1,1000,0,14.251360044056728,0.16952805675120078,0.4117378495489585,13.673970448582121,14.655914326177719,0.04,0.5700544017622691,0.01646951398195835,0.5469588179432848,0.5862365730471087
45,1,1000,0,12.063552133347738,0.004895602900436273,0.06996858509671518,11.966604917836708,12.150379159326027,0.045,0.5428598460006482,0.0031485863293521693,0.5384972213026519,0.5467670621696712
50,1,1000,0,10.644032492066614,0.006352197248679136,0.07970067282450717,10.557502854275565,10.760205112390596,0.05,0.5322016246033308,0.003985033641225346,0.5278751427137783,0.5380102556195298
55,1,1000,0,9.112537575826483,0.013981895626505585,0.11824506597108221,9.021494101929548,9.269709016209992,0.055,0.5011895666704567,0.006503478628409522,0.49618217560612515,0.5098339958915495
60,1,1000,0,8.055525809143141,0.009939936413137219,0.09969922975197561,7.975550707269596,8.227947038828555,0.06,0.4833315485485885,0.005981953785118538,0.4785330424361757,0.49367682232971327
