Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
10,1,1000.0,30.0,25.879270813811967,2.045735690032435,1.4302921694648387,25.068173585076522,29.227281507101885,0.01,0.25879270813811966,0.0143029216946484,0.25068173585076525,0.2922728150710189,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
15,1,1000.0,30.0,25.162455327567507,0.30167704477963847,0.5492513493653325,24.585175701419107,25.968668444615297,0.015,0.3774368299135126,0.008238770240479995,0.3687776355212866,0.3895300266692294,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
20,1,1000.0,30.0,23.463344605120827,0.19113773627304934,0.4371930194697181,22.84205839791798,24.0269857818618,0.02,0.46926689210241657,0.008743860389394372,0.4568411679583596,0.480539715637236,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
25,1,1000.0,30.0,21.57967479214296,0.06846290835119298,0.2616541770184321,21.174187478826028,21.89284018078255,0.025,0.539491869803574,0.006541354425460783,0.5293546869706507,0.5473210045195638,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
30,1,1000.0,30.0,18.745898266147478,0.1399283471306588,0.37406997624864097,17.987716269669182,19.04741296846256,0.03,0.5623769479844243,0.011222099287459235,0.5396314880900754,0.5714223890538768,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
35,1,1000.0,30.0,16.218412921791998,0.09967569134686079,0.3157145725918599,15.747906972856962,16.523597631291327,0.035,0.56764445226272,0.011050010040715081,0.5511767440499937,0.5783259170951965,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
40,1,1000.0,30.0,13.95284521178033,0.04977721471030809,0.22310807854111445,13.595011125881367,14.23332004180784,0.04,0.5581138084712132,0.008924323141644562,0.5438004450352547,0.5693328016723136,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
45,1,1000.0,30.0,12.04942882685413,0.03714963620869859,0.19274240895220385,11.79582263106121,12.365067623824068,0.045,0.5422242972084359,0.008673408402849178,0.5308120183977544,0.556428043072083,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
50,1,1000.0,30.0,10.487269639178841,0.020456997527823897,0.1430279606504403,10.32197161234087,10.675180781524986,0.05,0.5243634819589421,0.007151398032521946,0.5160985806170435,0.5337590390762493,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
55,1,1000.0,30.0,9.08937113271662,0.03282576182051727,0.18117881173171788,8.855700098588956,9.321222135200953,0.055,0.4999154122994141,0.00996483464524449,0.4870635054223926,0.5126672174360525,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
60,1,1000.0,30.0,7.899261423119225,0.005508827921442162,0.07422147884165448,7.75703530027955,8.008324738557027,0.06,0.4739556853871535,0.004453288730499256,0.46542211801677297,0.4804994843134216,120.0,0.5,50.0,50.0,50.0,0.0,0.0,0.0
