Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,30.0,25.870504826414546,0.830680806042381,0.9114169221834654,25.162186206136255,27.767195810860148,0.01,0.2587050482641455,0.009114169221834664,0.25162186206136256,0.2776719581086015
15,1,1000.0,30.0,25.422332434643636,0.22180317228984014,0.4709598414831568,24.93998103754096,26.233396284451032,0.015,0.38133498651965453,0.007064397622247339,0.3740997155631144,0.39350094426676546
20,1,1000.0,30.0,23.446735001255657,0.2113374882577071,0.45971457259663534,22.60579574467026,23.904783103217373,0.02,0.46893470002511317,0.009194291451932722,0.4521159148934052,0.47809566206434745
25,1,1000.0,30.0,21.313452567070478,0.06558002577906437,0.25608597341335265,21.093683633383208,21.915376220444983,0.025,0.5328363141767619,0.006402149335333788,0.5273420908345802,0.5478844055111246
30,1,1000.0,30.0,18.842692696580077,0.17581195913002604,0.419299366956386,18.272238803073193,19.629487946103275,0.03,0.5652807808974023,0.01257898100869151,0.5481671640921958,0.5888846383830982
35,1,1000.0,30.0,16.215076347919258,0.03498080367338452,0.1870315579611754,15.99970969576858,16.54092214700225,0.035,0.5675276721771741,0.006546104528641106,0.5599898393519004,0.5789322751450787
40,1,1000.0,30.0,13.941936376197164,0.026579097877048204,0.16303097214041326,13.667198468346248,14.161479453203487,0.04,0.5576774550478866,0.006521238885616535,0.5466879387338499,0.5664591781281395
45,1,1000.0,30.0,11.945752979846786,0.05827031676344103,0.2413924538245573,11.633499057999636,12.434476166014466,0.045,0.5375588840931054,0.010862660422105085,0.5235074576099836,0.559551427470651
50,1,1000.0,30.0,10.342152686672852,0.017961850488396096,0.13402182840267512,10.138733488734253,10.542086280970441,0.05,0.5171076343336426,0.006701091420133781,0.5069366744367126,0.5271043140485221
55,1,1000.0,30.0,8.801622467134248,0.01141164563343201,0.10682530427493296,8.657849471845557,8.924391157500688,0.055,0.48408923569238366,0.005875391735121296,0.4761817209515056,0.49084151366253786
60,1,1000.0,30.0,7.700381510587692,0.008975181007347394,0.09473743192290676,7.548926615847137,7.812192643245635,0.06,0.46202289063526153,0.0056842459153743944,0.4529355969508282,0.4687315585947381
65,1,1000.0,30.0,6.751582661542798,0.0039005265484066895,0.062454195602911176,6.671492797996157,6.838517951069596,0.065,0.4388528730002819,0.004059522714189221,0.43364703186975023,0.44450366681952375
