Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
10,2,1000.0,20.0,27.959273683997584,1.8751382053203023,1.3693568582806683,25.462796457986947,29.93279286410425,0.005,0.13979636841998794,0.006846784291403345,0.12731398228993474,0.14966396432052126,120.0,0.5,50.0,100,0,0.0,0.0,0.0
15,2,1000.0,20.0,26.229205787579776,4.503274023083655,2.122091897888415,21.27464102384832,29.483463483271045,0.0075,0.1967190434068483,0.01591568923416312,0.1595598076788624,0.22112597612453283,120.0,0.5,50.0,100,0,0.0,0.0,0.0
20,2,1000.0,20.0,25.065210879234133,2.765332537203629,1.6629289032317736,21.50798322769852,27.366597402630845,0.01,0.25065210879234134,0.016629289032317737,0.2150798322769852,0.27366597402630843,120.0,0.5,50.0,100,0,0.0,0.0,0.0
25,2,1000.0,20.0,22.474974803033337,3.239733568098176,1.7999259896168442,19.306888798721467,25.92709389132153,0.0125,0.2809371850379167,0.022499074870210557,0.24133610998401833,0.32408867364151916,120.0,0.5,50.0,100,0,0.0,0.0,0.0
30,2,1000.0,20.0,21.113719753401654,2.144735805121236,1.4644916541657846,18.456126968463675,24.084264894801017,0.015,0.3167057963010248,0.02196737481248677,0.2768419045269551,0.3612639734220152,120.0,0.5,50.0,100,0,0.0,0.0,0.0
35,2,1000.0,20.0,19.008628558570987,3.5952332986147133,1.89611004390956,15.959871207884095,22.01086628267305,0.0175,0.33265099977499235,0.0331819257684173,0.2792977461379717,0.3851901599467784,120.0,0.5,50.0,100,0,0.0,0.0,0.0
40,2,1000.0,20.0,16.073006801905013,1.3420891920129734,1.158485732330344,13.429973664567777,18.04156797564715,0.02,0.32146013603810025,0.023169714646606887,0.26859947329135553,0.36083135951294304,120.0,0.5,50.0,100,0,0.0,0.0,0.0
45,2,1000.0,20.0,14.589689097789199,1.035857891247336,1.0177710406802387,12.872478456698175,16.403695066139104,0.0225,0.32826800470025697,0.022899848415305374,0.2896307652757089,0.36908313898812983,120.0,0.5,50.0,100,0,0.0,0.0,0.0
50,2,1000.0,20.0,13.535888238452916,2.0559440423969644,1.4338563534737239,11.38768808394796,15.965894978922018,0.025,0.3383972059613229,0.035846408836843105,0.284692202098699,0.3991473744730505,120.0,0.5,50.0,100,0,0.0,0.0,0.0
55,2,1000.0,20.0,12.788216769284436,1.344958216466595,1.1597233361740182,11.168867012180398,15.065040462676912,0.0275,0.35167596115532196,0.031892391744785496,0.30714384283496093,0.41428861272361506,120.0,0.5,50.0,100,0,0.0,0.0,0.0
60,2,1000.0,20.0,11.888451388367423,0.6482701020891941,0.8051522229300457,10.183903802474333,13.160214787228485,0.03,0.3566535416510227,0.024154566687901367,0.30551711407423,0.3948064436168545,120.0,0.5,50.0,100,0,0.0,0.0,0.0
