Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,30.0,25.37178484323757,0.06354557770762595,0.2520824819530821,25.02016204463353,25.751446174630388,0.01,0.2537178484323757,0.002520824819530826,0.2502016204463353,0.2575144617463039
15,1,1000.0,30.0,25.349660622720943,0.2490070670693181,0.499006079190743,24.890778402621972,26.36380058952209,0.015,0.3802449093408141,0.007485091187861126,0.37336167603932957,0.3954570088428313
20,1,1000.0,30.0,23.8582470768912,0.10221062383097915,0.31970396280149416,23.55583524219157,24.39791918970155,0.02,0.477164941537824,0.0063940792560298896,0.4711167048438314,0.487958383794031
25,1,1000.0,30.0,21.36021722948615,0.019761348703880324,0.14057506430331207,21.160507760356072,21.568319047487204,0.025,0.5340054307371538,0.0035143766075828183,0.5290126940089018,0.5392079761871801
30,1,1000.0,30.0,19.120690182893743,0.08653683931952076,0.2941714454523429,18.615524115727034,19.568193226759615,0.03,0.5736207054868123,0.008825143363570308,0.558465723471811,0.5870457968027885
35,1,1000.0,30.0,16.563711946128734,0.05065624387375732,0.22506942012134237,16.272612272746414,17.028492088070635,0.035,0.5797299181145057,0.007877429704246968,0.5695414295461245,0.5959972230824723
40,1,1000.0,30.0,14.273616333903702,0.03437636776739779,0.18540865073506627,13.999404431779414,14.513237461097154,0.04,0.5709446533561481,0.007416346029402685,0.5599761772711765,0.5805294984438861
45,1,1000.0,30.0,12.393185635951298,0.06636456936637174,0.2576132165987835,12.071085172451143,12.889653719602451,0.045,0.5576933536178084,0.011592594746945186,0.5431988327603015,0.5800344173821103
50,1,1000.0,30.0,10.622627140293995,0.02007260374270927,0.14167781669234344,10.426819991655,10.830459777753896,0.05,0.5311313570146997,0.007083890834617105,0.52134099958275,0.5415229888876948
55,1,1000.0,30.0,9.219474913108355,0.04036426345472798,0.2009085947756541,8.874438218531184,9.583074115374048,0.055,0.5070711202209596,0.011049972712660963,0.4880941020192151,0.5270690763455727
60,1,1000.0,30.0,8.10903720430088,0.013133312152844011,0.11460066384120125,7.941204370118718,8.261405528318818,0.06,0.4865422322580527,0.006876039830472043,0.4764722622071231,0.49568433169912907
