Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000,0,26.251777419838476,1.2356002530117016,1.1115755723349185,25.341752750654635,28.10245745336558,0.01,0.26251777419838473,0.011115755723349174,0.25341752750654634,0.2810245745336558
15,1,1000,0,25.772371299923314,0.9971504503136333,0.9985742087164244,24.643813296587457,26.987349759104106,0.015,0.3865855694988497,0.014978613130746362,0.3696571994488118,0.40481024638656155
20,1,1000,0,23.697398763003456,0.03964472687015179,0.1991098361963863,23.537334352421496,23.97156498502558,0.02,0.47394797526006915,0.003982196723927713,0.4707466870484299,0.4794312997005116
25,1,1000,0,21.361438809402337,0.18394217178047312,0.4288848001275787,20.938849956209733,21.945629587036983,0.025,0.5340359702350586,0.010722120003189499,0.5234712489052433,0.5486407396759246
30,1,1000,0,18.94550555172286,0.025418890220526725,0.15943302738305737,18.737054986346934,19.123403593295407,0.03,0.5683651665516858,0.0047829908214917895,0.5621116495904079,0.5737021077988622
35,1,1000,0,16.322004171145238,0.07246084583538358,0.2691855230791277,15.911229503969315,16.639822259690366,0.035,0.5712701459900834,0.009421493307769447,0.5568930326389261,0.5823937790891629
40,1,1000,0,14.283165500745639,0.0793772807120973,0.28173973931999247,13.873313220711761,14.59999943080643,0.04,0.5713266200298256,0.011269589572799719,0.5549325288284704,0.5839999772322572
45,1,1000,0,12.154039637634435,0.025886883866834052,0.16089401439094636,11.90506701816481,12.328470697538489,0.045,0.5469317836935496,0.007240230647592588,0.5357280158174165,0.5547811813892319
50,1,1000,0,10.545807803243799,0.08094334330241439,0.28450543633191683,10.16454573595385,10.811109527746227,0.05,0.52729039016219,0.014225271816595858,0.5082272867976925,0.5405554763873114
55,1,1000,0,9.282809126343569,0.007731959480347259,0.0879315613437363,9.177477850439388,9.420443575086036,0.055,0.5105545019488963,0.004836235873905502,0.5047612817741663,0.518124396629732
60,1,1000,0,8.121970532863795,0.03650777326066753,0.1910700742153714,7.962293524815555,8.437920202203605,0.06,0.48731823197182766,0.011464204452922278,0.4777376114889333,0.5062752121322163
