Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
10,1,1000,0,25.441967178914076,0.09201015478834275,0.3033317569730257,24.984639907460803,25.787524800468255,0.01,0.25441967178914077,0.00303331756973026,0.24984639907460804,0.25787524800468253,120,0.5,50,50.0,50.0,0.0,0.0,0.0
15,1,1000,0,25.33668778571777,0.26552459759739755,0.5152907893582007,24.785722154314882,26.261200975238612,0.015,0.38005031678576656,0.007729361840372997,0.37178583231472323,0.39391801462857917,120,0.5,50,50.0,50.0,0.0,0.0,0.0
20,1,1000,0,24.058580832435844,0.2660912705050796,0.5158403536997465,23.51673538231128,24.87997220010683,0.02,0.48117161664871694,0.010316807073994946,0.4703347076462256,0.4975994440021366,120,0.5,50,50.0,50.0,0.0,0.0,0.0
25,1,1000,0,21.40798684795189,0.09683553352005539,0.31118408301205797,20.886280403071254,21.72528940571448,0.025,0.5351996711987973,0.007779602075301439,0.5221570100767814,0.543132235142862,120,0.5,50,50.0,50.0,0.0,0.0,0.0
30,1,1000,0,18.761431196363016,0.0695485558842677,0.26372060193368985,18.40936442850018,19.136138692714916,0.03,0.5628429358908904,0.007911618058010711,0.5522809328550053,0.5740841607814474,120,0.5,50,50.0,50.0,0.0,0.0,0.0
35,1,1000,0,16.31273117900005,0.08973855887598921,0.2995639478909123,15.99571192981205,16.783707716784697,0.035,0.5709455912650019,0.0104847381761819,0.5598499175434218,0.5874297700874644,120,0.5,50,50.0,50.0,0.0,0.0,0.0
40,1,1000,0,14.048645156347304,0.02217834872799026,0.14892396962205331,13.950718624490065,14.320543531400014,0.04,0.5619458062538921,0.005956958784882115,0.5580287449796026,0.5728217412560006,120,0.5,50,50.0,50.0,0.0,0.0,0.0
45,1,1000,0,12.123166605469596,0.04794534605805275,0.21896425748978474,11.80568918333599,12.382869915446832,0.045,0.5455424972461318,0.009853391587040284,0.5312560132501195,0.5572291461951074,120,0.5,50,50.0,50.0,0.0,0.0,0.0
50,1,1000,0,10.431503293404212,0.02406195428631733,0.15511916157044342,10.176725459727734,10.633996678372691,0.05,0.5215751646702107,0.0077559580785221014,0.5088362729863868,0.5316998339186346,120,0.5,50,50.0,50.0,0.0,0.0,0.0
55,1,1000,0,9.118634664677097,0.009741103426116653,0.09869702845636566,8.981294956578346,9.247122737503984,0.055,0.5015249065572404,0.0054283365651000975,0.493971222611809,0.5085917505627191,120,0.5,50,50.0,50.0,0.0,0.0,0.0
60,1,1000,0,7.880301801506306,0.019250276805200413,0.13874536678822977,7.704414930172204,8.170077027422275,0.06,0.47281810809037833,0.008324722007293792,0.4622648958103322,0.4902046216453365,120,0.5,50,50.0,50.0,0.0,0.0,0.0
