Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,20.0,25.480796564709554,0.053458606120412214,0.2312111721358036,25.057989450075006,25.753604335591454,0.01,0.25480796564709557,0.0023121117213580323,0.2505798945007501,0.25753604335591457
15,1,1000.0,20.0,25.414582621934702,0.4949726327263385,0.7035429146301869,24.841020151846767,26.778351148415457,0.015,0.3812187393290205,0.010553143719452781,0.3726153022777015,0.4016752672262318
20,1,1000.0,20.0,23.620747751107807,0.17333237001413845,0.4163320429826876,23.132798381807604,24.450265466578323,0.02,0.47241495502215614,0.00832664085965375,0.4626559676361521,0.48900530933156644
25,1,1000.0,20.0,21.318044756552858,0.032489122112464,0.18024739141653062,21.146275855099766,21.646070844964797,0.025,0.5329511189138214,0.004506184785413297,0.5286568963774941,0.5411517711241199
30,1,1000.0,20.0,18.83410810266679,0.05061577368941138,0.22497949615334145,18.534308577361582,19.3129105456603,0.03,0.5650232430800036,0.0067493848846002045,0.5560292573208474,0.579387316369809
35,1,1000.0,20.0,16.697071347306945,0.09438070278227814,0.3072144247627024,16.2290166682397,17.069729386859866,0.035,0.5843974971557431,0.01075250486669455,0.5680155833883896,0.5974405285400953
40,1,1000.0,20.0,14.290669230105827,0.03283276074673954,0.18119812567115462,13.983461626100038,14.521779734954482,0.04,0.5716267692042332,0.007247925026846185,0.5593384650440015,0.5808711893981793
45,1,1000.0,20.0,12.386554795999364,0.03072487314244135,0.17528511956935006,12.17608703443208,12.784743278070684,0.045,0.5573949658199714,0.007887830380620717,0.5479239165494435,0.5753134475131807
50,1,1000.0,20.0,10.716934073838855,0.06760751451445407,0.2600144505877588,10.284949686975615,11.008777716733753,0.05,0.5358467036919428,0.013000722529387956,0.5142474843487808,0.5504388858366877
55,1,1000.0,20.0,9.351288250875914,0.017490325465271423,0.13225099419388658,9.242816542172703,9.593926049705624,0.055,0.5143208537981753,0.007273804680663792,0.5083549098194986,0.5276659327338094
60,1,1000.0,20.0,8.174892915388629,0.023143946685538576,0.15213134682089216,7.942325957908385,8.36269752280102,0.06,0.4904935749233177,0.009127880809253567,0.47653955747450305,0.5017618513680612
