Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,40.0,25.395335320481678,0.10979072065678622,0.33134682834876544,25.020951087489827,25.79409425043948,0.01,0.25395335320481677,0.0033134682834876444,0.2502095108748983,0.2579409425043948
15,1,1000.0,40.0,25.046810665221592,0.07085407119599679,0.2661842805200878,24.64543729228704,25.339374176689073,0.015,0.37570215997832385,0.003992764207801332,0.3696815593843056,0.3800906126503361
20,1,1000.0,40.0,23.67750093895082,0.15959625050554388,0.3994949943435385,23.176518357199942,24.17058732359331,0.02,0.4735500187790165,0.00798989988687075,0.46353036714399887,0.4834117464718662
25,1,1000.0,40.0,21.315287745896747,0.12182674006140778,0.34903687493072677,20.793964389534967,21.728519220514887,0.025,0.5328821936474186,0.008725921873268221,0.5198491097383742,0.5432129805128721
30,1,1000.0,40.0,18.698194743616018,0.14108725765092767,0.37561583785954455,18.24500255540012,19.222917556184548,0.03,0.5609458423084804,0.011268475135786373,0.5473500766620035,0.5766875266855365
35,1,1000.0,40.0,16.22426643685733,0.06338616485771416,0.25176609155665536,15.888344161746117,16.569999261521122,0.035,0.5678493252900066,0.008811813204482983,0.5560920456611141,0.5799499741532393
40,1,1000.0,40.0,13.821464965499462,0.025488303153717858,0.15965056577951064,13.659926595055135,14.03279844906282,0.04,0.5528585986199784,0.006386022631180371,0.5463970638022054,0.5613119379625128
45,1,1000.0,40.0,11.97104108343136,0.020220637727725685,0.14219928877362814,11.814679778676506,12.114053163568931,0.045,0.5386968487544112,0.006398967994813224,0.5316605900404427,0.5451323923606018
50,1,1000.0,40.0,10.285535828495457,0.05098880895033568,0.22580701705291553,10.015597178321014,10.523248289284505,0.05,0.5142767914247728,0.01129035085264581,0.5007798589160507,0.5261624144642253
55,1,1000.0,40.0,8.90409061374196,0.025942272024141018,0.16106604863887677,8.76896274706897,9.170752692839107,0.055,0.48972498375580786,0.00885863267513819,0.4822929510887934,0.5043913981061509
60,1,1000.0,40.0,7.768256431885037,0.011632758749775684,0.10785526760328253,7.651259117203618,7.926601047467443,0.06,0.46609538591310223,0.00647131605619695,0.45907554703221704,0.47559606284804656
