Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000,0,26.40792636392655,2.038939965111703,1.4279145510539848,24.918467352727173,28.550340013661117,0.01,0.26407926363926554,0.01427914551053985,0.24918467352727175,0.2855034001366112
15,1,1000,0,25.11483799105348,0.16492646618547954,0.40611139627629206,24.832646027205815,25.82674312801026,0.015,0.3767225698658022,0.006091670944144374,0.3724896904080872,0.38740114692015387
20,1,1000,0,23.491521598163,0.157512380216174,0.3968782939594631,23.133265983636424,24.089790986709502,0.02,0.4698304319632601,0.007937565879189229,0.4626653196727285,0.48179581973419006
25,1,1000,0,21.408512022853348,0.1132075788170628,0.33646333948450136,21.030401423991737,21.822064607043313,0.025,0.5352128005713337,0.008411583487112538,0.5257600355997935,0.5455516151760829
30,1,1000,0,19.093391036136683,0.0447969426556423,0.21165288246476185,18.767361897451455,19.299247124051494,0.03,0.5728017310841004,0.006349586473942808,0.5630208569235436,0.5789774137215448
35,1,1000,0,16.27020268313523,0.048758883432254735,0.2208141377544806,16.06773123919111,16.604345337293086,0.035,0.569457093909733,0.007728494821406813,0.5623705933716889,0.5811520868052581
40,1,1000,0,14.084542540609098,0.083793956657382,0.28947185814407245,13.630381124548501,14.328528140052395,0.04,0.5633817016243639,0.011578874325762859,0.5452152449819401,0.5731411256020958
45,1,1000,0,12.02162075361078,0.06109177714817819,0.24716750827764192,11.728154556865057,12.300222427682408,0.045,0.540972933912485,0.01112253787249384,0.5277669550589276,0.5535100092457084
50,1,1000,0,10.38414860864447,0.028435033236297178,0.16862690543414827,10.173649289788989,10.576387358926315,0.05,0.5192074304322235,0.008431345271707438,0.5086824644894494,0.5288193679463158
55,1,1000,0,9.002235725471458,0.019342869408942722,0.13907864469048697,8.79239976783953,9.128797376111114,0.055,0.4951229649009302,0.007649325457976767,0.4835819872311742,0.5020838556861112
60,1,1000,0,7.963755938124113,0.010774903274429804,0.10380223154841038,7.797093165040921,8.042789653488553,0.06,0.4778253562874467,0.006228133892904627,0.4678255899024552,0.48256737920931314
