Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,10.0,26.533485986696935,1.4069590459736339,1.1861530449202724,25.371379984100177,28.532477474537927,0.01,0.26533485986696936,0.011861530449202707,0.2537137998410018,0.28532477474537926
15,1,1000.0,10.0,25.401716834177208,0.4438535266110121,0.6662233308816287,24.679196056565853,26.668376360173202,0.015,0.38102575251265813,0.009993349963224426,0.3701879408484878,0.400025645402598
20,1,1000.0,10.0,23.53217715962947,0.09801525789538945,0.3130738856809834,23.05531140315076,23.869963926793126,0.02,0.47064354319258944,0.006261477713619618,0.4611062280630152,0.4773992785358625
25,1,1000.0,10.0,21.414973296278493,0.12577758556400856,0.35465135776422535,20.96237684991276,22.136152845936714,0.025,0.5353743324069623,0.00886628394410566,0.524059421247819,0.5534038211484179
30,1,1000.0,10.0,18.975283932541064,0.06377915922081806,0.2525453607192539,18.647632616825664,19.392065998762927,0.03,0.5692585179762318,0.007576360821577624,0.5594289785047699,0.5817619799628878
35,1,1000.0,10.0,16.41563304199486,0.027900432428871497,0.1670342253218528,16.136071378547097,16.590920296687344,0.035,0.5745471564698201,0.005846197886264849,0.5647624982491485,0.5806822103840571
40,1,1000.0,10.0,14.061429048716887,0.06389429849801435,0.2527732155470875,13.804689619398335,14.463437017234076,0.04,0.5624571619486755,0.010110928621883505,0.5521875847759334,0.5785374806893631
45,1,1000.0,10.0,12.107733198472351,0.018499448090437114,0.13601267621231897,11.945404331173131,12.375811402085416,0.045,0.5448479939312558,0.006120570429554314,0.5375431949027909,0.5569115130938437
50,1,1000.0,10.0,10.368008683389434,0.01681833762539084,0.12968553360105683,10.241662894982905,10.554052659406766,0.05,0.5184004341694717,0.006484276680052834,0.5120831447491453,0.5277026329703384
55,1,1000.0,10.0,9.128783443352846,0.01633179676719639,0.12779591842933166,8.843571134465117,9.24903386690535,0.055,0.5020830893844065,0.0070287755136132475,0.48639641239558146,0.5086968626797943
60,1,1000.0,10.0,7.866698028128117,0.009457514613981309,0.09724975379907812,7.72296125649255,7.977494558267354,0.06,0.47200188168768703,0.005834985227944699,0.46337767538955293,0.47864967349604126
