Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
10,2,1000.0,50.0,27.434382942487908,3.5270367409421075,1.8780406654122554,21.888037831948342,29.643695226022125,0.005,0.13717191471243953,0.009390203327061282,0.10944018915974171,0.14821847613011063,120.0,0.5,50.0,100,0,0.0,0.0,0.0
15,2,1000.0,50.0,26.26668741347973,3.1230411775370626,1.7672128274594043,23.06540545716846,28.48041905621254,0.0075,0.19700015560109796,0.013254096205945531,0.17299054092876345,0.21360314292159405,120.0,0.5,50.0,100,0,0.0,0.0,0.0
20,2,1000.0,50.0,24.98775267610516,2.935612746438496,1.713362993191605,21.114050453563205,27.770760642871892,0.01,0.24987752676105163,0.01713362993191601,0.21114050453563205,0.27770760642871894,120.0,0.5,50.0,100,0,0.0,0.0,0.0
25,2,1000.0,50.0,22.319141287015903,1.8973460006914893,1.377441832053713,19.704793258911984,24.844682113496013,0.0125,0.2789892660876988,0.017218022900671415,0.24630991573639982,0.3105585264187002,120.0,0.5,50.0,100,0,0.0,0.0,0.0
30,2,1000.0,50.0,20.441653915218176,5.293832938889368,2.3008330967041846,15.786736499201785,25.889473333790693,0.015,0.30662480872827264,0.03451249645056277,0.23680104748802677,0.38834210000686037,120.0,0.5,50.0,100,0,0.0,0.0,0.0
35,2,1000.0,50.0,17.871967307536977,1.9629666564147707,1.4010591195287838,15.33674333026273,19.629775493015202,0.0175,0.31275942788189715,0.02451853459175372,0.2683930082795978,0.3435210711277661,120.0,0.5,50.0,100,0,0.0,0.0,0.0
40,2,1000.0,50.0,16.75565283381683,3.1401469239396693,1.772045971169955,13.956774102736265,20.14312786655163,0.02,0.33511305667633656,0.035440919423399095,0.2791354820547253,0.4028625573310326,120.0,0.5,50.0,100,0,0.0,0.0,0.0
45,2,1000.0,50.0,14.587544145115354,1.9062102610157385,1.3806557358790563,12.268714414103892,16.7590746955243,0.0225,0.32821974326509545,0.031064754057278765,0.2760460743173376,0.37707918064929674,120.0,0.5,50.0,100,0,0.0,0.0,0.0
50,2,1000.0,50.0,13.807210988407757,1.9248802269057361,1.38740052865268,10.596095463289782,16.19924641840738,0.025,0.34518027471019397,0.03468501321631701,0.2649023865822446,0.4049811604601845,120.0,0.5,50.0,100,0,0.0,0.0,0.0
55,2,1000.0,50.0,12.786379759478226,1.015453371835731,1.007697063524416,10.907993260470827,14.562797842498215,0.0275,0.35162544338565127,0.027711669246921426,0.29996981466294775,0.40047694066870093,120.0,0.5,50.0,100,0,0.0,0.0,0.0
60,2,1000.0,50.0,12.013039589408784,0.8754227907836309,0.9356403105807439,10.419014588015154,14.015858454502375,0.03,0.3603911876822635,0.028069209317422315,0.3125704376404546,0.4204757536350712,120.0,0.5,50.0,100,0,0.0,0.0,0.0
