Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
10,2,1000.0,10.0,26.175795064937326,3.1455143470614706,1.7735597951750797,23.724297495039504,28.80747243528047,0.005,0.13087897532468662,0.008867798975875404,0.11862148747519752,0.14403736217640237,120.0,0.5,50.0,0,100,0.0,0.0,0.0
15,2,1000.0,10.0,26.46240646377074,4.491976163131178,2.119428263266105,22.83542411622276,29.12544848647591,0.0075,0.19846804847828056,0.015895711974495786,0.1712656808716707,0.21844086364856932,120.0,0.5,50.0,0,100,0.0,0.0,0.0
20,2,1000.0,10.0,23.531832235399012,4.3666831437055365,2.089661011672835,21.05976361085945,27.32251121262842,0.01,0.23531832235399014,0.020896610116728345,0.2105976361085945,0.2732251121262842,120.0,0.5,50.0,0,100,0.0,0.0,0.0
25,2,1000.0,10.0,20.917941658013625,3.0581393461013144,1.7487536550644618,17.98355333124304,23.82356685402474,0.0125,0.2614742707251703,0.02185942068830576,0.224794416640538,0.29779458567530925,120.0,0.5,50.0,0,100,0.0,0.0,0.0
30,2,1000.0,10.0,18.301117822845107,4.245699945980077,2.060509632586093,15.512811971766912,22.00262522352423,0.015,0.2745167673426766,0.03090764448879141,0.23269217957650368,0.33003937835286346,120.0,0.5,50.0,0,100,0.0,0.0,0.0
35,2,1000.0,10.0,16.532584189456486,4.031667622417465,2.007901297976936,13.699655476554957,20.257599887428587,0.0175,0.28932022331548857,0.035138272714596394,0.23974397083971177,0.35450799803000027,120.0,0.5,50.0,0,100,0.0,0.0,0.0
40,2,1000.0,10.0,14.411153899477139,2.7343765206057333,1.6535950292032608,11.481562955823325,17.318966299385785,0.02,0.2882230779895428,0.033071900584065214,0.2296312591164665,0.3463793259877157,120.0,0.5,50.0,0,100,0.0,0.0,0.0
45,2,1000.0,10.0,12.566646454747744,0.9476729469295296,0.9734849495136171,11.327870630873871,14.010959361336681,0.0225,0.2827495452318242,0.021903411364056373,0.2548770891946621,0.3152465856300753,120.0,0.5,50.0,0,100,0.0,0.0,0.0
50,2,1000.0,10.0,12.387745438507261,1.3557953219820875,1.1643862426111395,9.97829498393531,13.824445817245564,0.025,0.30969363596268157,0.029109656065278496,0.24945737459838277,0.34561114543113913,120.0,0.5,50.0,0,100,0.0,0.0,0.0
55,2,1000.0,10.0,11.01527728606988,1.9396809810563824,1.3927243018833204,8.948884132525459,12.854551797921426,0.0275,0.3029201253669217,0.03829991830179132,0.2460943136444501,0.3535001744428392,120.0,0.5,50.0,0,100,0.0,0.0,0.0
60,2,1000.0,10.0,10.591892400094297,0.27652858503213645,0.5258598530332359,10.042437841405313,11.411649488946784,0.03,0.31775677200282887,0.015775795590997094,0.3012731352421594,0.34234948466840354,120.0,0.5,50.0,0,100,0.0,0.0,0.0
