Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
10,2,1000.0,0.0,27.00144311975477,3.458524884475935,1.8597109679936652,24.357260929578636,29.017099039103652,0.005,0.13500721559877388,0.009298554839968316,0.12178630464789318,0.14508549519551825,120.0,0.5,50.0,0,100,0.0,0.0,0.0
15,2,1000.0,0.0,26.229527240773756,7.706201120877701,2.776004524650077,19.59107312972578,28.075318604239396,0.0075,0.19672145430580318,0.020820033934875578,0.14693304847294333,0.21056488953179545,120.0,0.5,50.0,0,100,0.0,0.0,0.0
20,2,1000.0,0.0,23.015114208574566,4.51672354214648,2.125258464786455,20.127548401264157,26.904814929381892,0.01,0.2301511420857457,0.021252584647864548,0.2012754840126416,0.26904814929381893,120.0,0.5,50.0,0,100,0.0,0.0,0.0
25,2,1000.0,0.0,20.695052696467325,4.718755074609299,2.172269567666338,17.266454163637622,23.96809288537606,0.0125,0.25868815870584155,0.02715336959582921,0.2158306770454703,0.29960116106720075,120.0,0.5,50.0,0,100,0.0,0.0,0.0
30,2,1000.0,0.0,18.923030658214106,5.223308656410433,2.285455896842123,15.626898640480325,21.969795726341488,0.015,0.2838454598732116,0.03428183845263185,0.23440347960720487,0.3295469358951223,120.0,0.5,50.0,0,100,0.0,0.0,0.0
35,2,1000.0,0.0,16.18564610124273,4.563873380340577,2.136322396161351,12.739426315594422,18.98240766491868,0.0175,0.2832488067717478,0.037385641932823635,0.2229399605229024,0.3321921341360769,120.0,0.5,50.0,0,100,0.0,0.0,0.0
40,2,1000.0,0.0,15.06369721790435,3.482442982599715,1.8661304838085988,12.253043799550394,17.45560046899771,0.02,0.30127394435808696,0.037322609676171986,0.24506087599100787,0.3491120093799542,120.0,0.5,50.0,0,100,0.0,0.0,0.0
45,2,1000.0,0.0,12.53044490214832,1.5126159996887893,1.229884547300595,11.064818442305597,14.568680013110127,0.0225,0.2819350102983372,0.0276724023142634,0.24895841495187593,0.32779530029497783,120.0,0.5,50.0,0,100,0.0,0.0,0.0
50,2,1000.0,0.0,11.317493575898808,1.7116050922946244,1.3082832614898903,9.678614046111841,13.357569076932608,0.025,0.28293733939747023,0.032707081537247266,0.24196535115279605,0.33393922692331524,120.0,0.5,50.0,0,100,0.0,0.0,0.0
55,2,1000.0,0.0,11.846196362066674,0.715905241909046,0.8461118377076674,10.618918716280227,13.463147023633322,0.0275,0.3257703999568336,0.02326807553696086,0.29202026469770626,0.3702365431499164,120.0,0.5,50.0,0,100,0.0,0.0,0.0
60,2,1000.0,0.0,9.946355333045629,0.7250400650077049,0.8514928449539109,8.663875577344164,11.085583006098068,0.03,0.2983906599913688,0.025544785348617354,0.2599162673203249,0.332567490182942,120.0,0.5,50.0,0,100,0.0,0.0,0.0
