Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,0.0,25.631542714433557,0.7062141606405385,0.8403654922951909,25.010026658450762,27.586330592020527,0.01,0.2563154271443356,0.008403654922951904,0.2501002665845076,0.2758633059202053
15,1,1000.0,0.0,24.814466142282033,0.03854613517149773,0.19633169680797272,24.518133852171946,25.11844600878167,0.015,0.3722169921342305,0.002944975452119597,0.3677720077825792,0.37677669013172504
20,1,1000.0,0.0,23.634184570415535,0.08413555848703583,0.29006130125722707,23.266213612802797,24.144299490192452,0.02,0.4726836914083107,0.0058012260251445475,0.46532427225605594,0.48288598980384906
25,1,1000.0,0.0,21.20584157913906,0.052379888826372886,0.22886653059452114,20.895074084611128,21.630772005803493,0.025,0.5301460394784766,0.005721663264863051,0.5223768521152782,0.5407693001450874
30,1,1000.0,0.0,18.72169192225042,0.08078145026923371,0.28422077733556655,18.377019931087094,19.2412003763175,0.03,0.5616507576675126,0.008526623320066984,0.5513105979326128,0.577236011289525
35,1,1000.0,0.0,16.259483533000182,0.05978241155227269,0.24450442031233852,15.984835488623549,16.630612978297062,0.035,0.5690819236550064,0.008557654710931882,0.5594692421018242,0.5820714542403972
40,1,1000.0,0.0,13.871901375842096,0.10922461370045733,0.3304914729617957,13.52882679455926,14.428750869495227,0.04,0.5548760550336839,0.013219658918471877,0.5411530717823704,0.5771500347798091
45,1,1000.0,0.0,11.906946111763613,0.10351829259850272,0.32174258748027545,11.339501475799688,12.3977622190225,0.045,0.5358125750293625,0.014478416436612383,0.510277566410986,0.5578992998560125
50,1,1000.0,0.0,10.317272088837173,0.017206493670208847,0.13117352503538526,10.136989652985257,10.534809401953973,0.05,0.5158636044418586,0.0065586762517692195,0.5068494826492629,0.5267404700976986
55,1,1000.0,0.0,8.996985856667774,0.028398809808520276,0.16851946418298475,8.720573581069091,9.260255532966191,0.055,0.4948342221167275,0.009268570530064153,0.4796315469588,0.5093140543131405
60,1,1000.0,0.0,7.731733933643585,0.01588973563608089,0.12605449470796704,7.596686015638498,8.019660380124181,0.06,0.4639040360186151,0.007563269682478043,0.45580116093830986,0.48117962280745086
