Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000,0,25.79142778380402,1.1988114535638992,1.0949024858698144,24.771109944184538,27.511000059387648,0.01,0.2579142778380402,0.010949024858698135,0.24771109944184538,0.27511000059387647
15,1,1000,0,25.244065044604515,0.26452033864427116,0.5143154077453553,24.84152797025367,26.120042584053934,0.015,0.37866097566906765,0.007714731116180342,0.372622919553805,0.391800638760809
20,1,1000,0,23.63440066434297,0.24048716710088036,0.4903949093341818,23.110477126422303,24.254198994563943,0.02,0.4726880132868594,0.009807898186683678,0.4622095425284461,0.4850839798912789
25,1,1000,0,21.221769145221984,0.09289379434788603,0.30478483287047936,20.90237586936373,21.667198573959976,0.025,0.5305442286305496,0.007619620821762049,0.5225593967340932,0.5416799643489995
30,1,1000,0,18.983935139183906,0.12343441805504089,0.35133234700926824,18.581003434594574,19.44152007606102,0.03,0.5695180541755172,0.010539970410278097,0.5574301030378372,0.5832456022818306
35,1,1000,0,16.3314892153565,0.06666405559122937,0.2581938333718088,16.0596689724353,16.65464693258661,0.035,0.5716021225374776,0.009036784168013299,0.5620884140352356,0.5829126426405313
40,1,1000,0,13.942225748722137,0.01908907041378492,0.1381632020973201,13.776537352921405,14.086809397850695,0.04,0.5576890299488855,0.005526528083892742,0.5510614941168562,0.5634723759140278
45,1,1000,0,12.008784468428368,0.029714889857845088,0.17238007384220802,11.831441902035325,12.209146210644972,0.045,0.5403953010792766,0.0077571033228993605,0.5324148855915896,0.5494115794790237
50,1,1000,0,10.287058743480724,0.05159212115546164,0.22713899083042005,10.077641304071904,10.636254499857671,0.05,0.5143529371740363,0.011356949541520969,0.5038820652035952,0.5318127249928836
55,1,1000,0,8.89961873342545,0.004442324359375975,0.06665076413197357,8.84882796507336,9.01224820111378,0.055,0.48947903033839973,0.0036657920272585268,0.4866855380790348,0.4956736510612579
60,1,1000,0,7.840548980387484,0.05172767033510289,0.22743717887606435,7.585971430101521,8.092581025048045,0.06,0.470432938823249,0.013646230732563863,0.45515828580609125,0.48555486150288263
65,1,1000,0,6.677972559974388,0.006343074272555125,0.07964341951821961,6.564661970903032,6.751916382953144,0.065,0.43406821639833526,0.00517682226868428,0.4267030281086971,0.4388745648919544
70,1,1000,0,5.900371771266532,0.012298411941475927,0.11089820531224086,5.767004388184773,5.995864304209021,0.07,0.4130260239886573,0.007762874371856846,0.40369030717293414,0.4197105012946315
75,1,1000,0,5.118778351070307,0.009636855949257063,0.09816748926837776,4.947305767374755,5.190716895163377,0.075,0.383908376330273,0.007362561695128339,0.3710479325531066,0.3893037671372533
