Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,0.0,25.651019059328533,0.30986411503047234,0.5566543946026765,24.971122088711383,26.3789150079965,0.01,0.25651019059328534,0.005566543946026766,0.24971122088711384,0.263789150079965
15,1,1000.0,0.0,25.068959575026902,0.22849878356940798,0.47801546373460346,24.54115076236701,26.163813370506826,0.015,0.37603439362540353,0.0071702319560190565,0.36811726143550516,0.39245720055760236
20,1,1000.0,0.0,23.56959036900813,0.1646830218354937,0.40581155951438064,23.11535331014235,24.371473541249802,0.02,0.4713918073801626,0.008116231190287607,0.462307066202847,0.48742947082499605
25,1,1000.0,0.0,21.39183491509134,0.07359127023492175,0.27127710967739566,20.834069252783856,21.700866488014334,0.025,0.5347958728772835,0.006781927741934878,0.5208517313195964,0.5425216622003584
30,1,1000.0,0.0,18.94635093828804,0.04840098590569689,0.22000224068335508,18.539381172587053,19.22388834638885,0.03,0.5683905281486412,0.006600067220500672,0.5561814351776115,0.5767166503916655
35,1,1000.0,0.0,16.341777732118377,0.038491056897388666,0.19619137824427624,15.969281305687952,16.582832905105526,0.035,0.5719622206241433,0.006866698238549649,0.5589248456990784,0.5803991516786935
40,1,1000.0,0.0,14.196213502620457,0.08599488288404948,0.29324884123223655,13.931427286918616,14.753712061595584,0.04,0.5678485401048183,0.01172995364928944,0.5572570914767446,0.5901484824638233
45,1,1000.0,0.0,12.122264092383494,0.012482453233825547,0.11172489979331172,11.975180510304215,12.295055737876783,0.045,0.5455018841572572,0.0050276204906990335,0.5388831229636897,0.5532775082044552
50,1,1000.0,0.0,10.484886109900287,0.01348716603027209,0.1161342586417638,10.313206087294388,10.67004657928727,0.05,0.5242443054950144,0.005806712932088179,0.5156603043647194,0.5335023289643636
55,1,1000.0,0.0,9.045489662602684,0.019062672026837143,0.13806763569655686,8.758479070295401,9.1559991816163,0.055,0.49750193144314764,0.007593719963310632,0.48171634886624703,0.5035799549888965
60,1,1000.0,0.0,7.997092995784835,0.018315997526266763,0.1353366082265503,7.838746996685771,8.282745984862018,0.06,0.4798255797470901,0.008120196493593015,0.4703248198011462,0.49696475909172105
