Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow
10,1,1000.0,10.0,25.49268946580509,0.13966844119377902,0.3737224119500716,25.080596504895276,26.134299521348673,0.01,0.2549268946580509,0.0037372241195007296,0.25080596504895275,0.26134299521348675
15,1,1000.0,10.0,25.182613996984106,0.09578945462578599,0.3094987150632228,24.844837158805447,25.735629417539634,0.015,0.37773920995476157,0.004642480725948347,0.3726725573820817,0.3860344412630945
20,1,1000.0,10.0,23.96289420747295,0.20227339727675395,0.4497481487196517,23.285629462430315,24.618899227780926,0.02,0.47925788414945897,0.008994962974393034,0.4657125892486063,0.49237798455561854
25,1,1000.0,10.0,21.30894088406517,0.12023606549507408,0.34675072529855516,20.731001686090554,21.84867645877952,0.025,0.5327235221016292,0.008668768132463894,0.5182750421522638,0.546216911469488
30,1,1000.0,10.0,18.55635598514536,0.05094720398615631,0.22571487320545874,18.098436749398207,18.749412650039176,0.03,0.5566906795543607,0.006771446196163803,0.5429531024819462,0.5624823795011753
35,1,1000.0,10.0,16.218753391533525,0.15932966787129588,0.39916120536857774,15.598836733199873,16.651560706800517,0.035,0.5676563687036734,0.013970642187900215,0.5459592856619956,0.5828046247380181
40,1,1000.0,10.0,13.959524054599232,0.047978540000291614,0.21904004200212257,13.554565587974846,14.26363881203585,0.04,0.5583809621839693,0.008761601680084883,0.5421826235189938,0.570545552481434
45,1,1000.0,10.0,12.008626437952746,0.02740401377095458,0.16554157716705065,11.828302822799023,12.30510820483236,0.045,0.5403881897078735,0.007449370972517269,0.532273627025956,0.5537298692174561
50,1,1000.0,10.0,10.346583871012012,0.050018735126059775,0.2236486868417961,9.984165239079672,10.691541841934598,0.05,0.5173291935506006,0.011182434342089797,0.49920826195398366,0.5345770920967299
55,1,1000.0,10.0,8.949658674300174,0.012530531484468685,0.11193985655015234,8.788263420120678,9.125172138006068,0.055,0.4922312270865096,0.006156692110258377,0.48335448810663734,0.5018844675903338
60,1,1000.0,10.0,7.706822713545148,0.008450944702777775,0.09192901991633423,7.602667022967362,7.862793763668538,0.06,0.46240936281270884,0.005515741194980064,0.4561600213780417,0.4717676258201123
