Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,20.0,26.61575434837477,1.833379353469992,1.3540233947277247,25.102297794259588,29.055391617983947,0.005,0.13307877174187385,0.006770116973638624,0.12551148897129794,0.14527695808991975,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
10,1,1000.0,20.0,26.209791983277967,1.1392113262436256,1.0673384309784903,25.075071100493183,28.3691675046961,0.01,0.26209791983277964,0.01067338430978491,0.25075071100493185,0.283691675046961,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
15,1,1000.0,20.0,25.15968256400351,0.3039309381423498,0.5512993181043758,24.664952125123257,26.362738701581574,0.015,0.37739523846005263,0.008269489771565644,0.36997428187684883,0.39544108052372356,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
20,1,1000.0,20.0,23.624820619423154,0.1738657957396616,0.4169721762176244,23.03622268870408,24.51438312342134,0.02,0.4724964123884631,0.008339443524352496,0.4607244537740816,0.4902876624684268,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
25,1,1000.0,20.0,21.640954248587583,0.07844548958046554,0.28008121961399973,21.0896655447393,22.013566055206788,0.025,0.5410238562146896,0.0070020304903500065,0.5272416386184825,0.5503391513801698,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
30,1,1000.0,20.0,18.970088829242613,0.05646981737293382,0.2376337883654886,18.498729479423364,19.27140258768996,0.03,0.5691026648772783,0.007129013650964639,0.5549618843827009,0.5781420776306988,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
35,1,1000.0,20.0,16.57562148053774,0.06191838560310184,0.24883405233830405,16.236486884772354,17.04161865626007,0.035,0.5801467518188209,0.008709191831840643,0.5682770409670325,0.5964566529691026,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
40,1,1000.0,20.0,14.245683974674801,0.051349926893897745,0.22660522256536308,13.806812012867038,14.464135537540596,0.04,0.569827358986992,0.009064208902614468,0.5522724805146816,0.5785654215016238,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
45,1,1000.0,20.0,12.395977513840613,0.021732935675271094,0.147420947206532,12.10083023630321,12.583220097708315,0.045,0.5578189881228275,0.006633942624293951,0.5445373606336444,0.5662449043968741,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
50,1,1000.0,20.0,10.755194790779674,0.02109765794618921,0.14525032855793893,10.580469356276922,11.01667164528814,0.05,0.5377597395389838,0.007262516427896948,0.5290234678138461,0.550833582264407,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
55,1,1000.0,20.0,9.344299641825268,0.006047038107710979,0.0777627038348782,9.187879068625094,9.459914289396691,0.055,0.5139364803003897,0.004276948710918294,0.5053333487743802,0.5202952859168181,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
60,1,1000.0,20.0,8.091205034828233,0.00944819782458297,0.09720184064400719,7.94831455016322,8.258091977613265,0.06,0.485472302089694,0.005832110438640448,0.47689887300979317,0.4954855186567959,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
