Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,10.0,26.646097051938096,1.189836493191582,1.0907962656663168,25.035323308595732,28.197685955856265,0.005,0.13323048525969047,0.00545398132833158,0.12517661654297865,0.14098842977928133,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
10,1,1000.0,10.0,25.794172810839154,0.6931121493987218,0.8325335725354995,24.980005633351997,27.70486480330768,0.01,0.25794172810839155,0.008325335725355005,0.24980005633351998,0.27704864803307677,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
15,1,1000.0,10.0,25.049204631342246,0.09655016819824798,0.3107252294202194,24.492815333466062,25.757365274580707,0.015,0.37573806947013366,0.004660878441303284,0.3673922300019909,0.3863604791187106,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
20,1,1000.0,10.0,23.574149033716264,0.10917398381511405,0.33041486621384647,22.787801001519277,24.122244320056133,0.02,0.47148298067432537,0.006608297324276925,0.45575602003038557,0.48244488640112265,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
25,1,1000.0,10.0,21.281641478487373,0.1173694025185847,0.34259218105290246,20.70097881735582,21.949470643973132,0.025,0.5320410369621843,0.008564804526322564,0.5175244704338956,0.5487367660993283,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
30,1,1000.0,10.0,18.83110871509542,0.09550674501797884,0.3090416557973679,18.311165021554682,19.498705420827214,0.03,0.5649332614528626,0.009271249673921067,0.5493349506466404,0.5849611626248165,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
35,1,1000.0,10.0,16.275606019783254,0.10078285441103996,0.31746315441487055,15.493634906583914,16.779160087880083,0.035,0.569646210692414,0.011111210404520474,0.542277221730437,0.5872706030758029,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
40,1,1000.0,10.0,13.94434316821138,0.04803638287180806,0.219172039438903,13.454561974478997,14.294962308345617,0.04,0.5577737267284552,0.008766881577556122,0.5381824789791599,0.5717984923338247,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
45,1,1000.0,10.0,11.955415161168165,0.02801265733294149,0.16736982204967982,11.720801382661259,12.316805025754661,0.045,0.5379936822525674,0.007531641992235594,0.5274360622197566,0.5542562261589598,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
50,1,1000.0,10.0,10.345704459411504,0.012706952347828164,0.11272511853100073,10.174285611458721,10.572604198981747,0.05,0.5172852229705752,0.005636255926550024,0.5087142805729361,0.5286302099490874,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
55,1,1000.0,10.0,8.95848968453821,0.01693297480887584,0.13012676438333445,8.714977977094481,9.2168465612318,0.055,0.49271693264960154,0.00715697204108337,0.4793237887401965,0.506926560867749,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
60,1,1000.0,10.0,7.775642777741996,0.01219564833785592,0.11043390936599103,7.591270463673953,7.950361855767236,0.06,0.46653856666451976,0.006626034561959467,0.4554762278204372,0.4770217113460341,150.0,0.5,50,10.0,90.0,0.0,0.0,0.0
