Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,30.0,26.900644291439633,2.32399092694009,1.5244641441962778,25.01883157564655,29.71574842791236,0.005,0.1345032214571982,0.007622320720981391,0.12509415787823275,0.1485787421395618,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
10,1,1000.0,30.0,26.592822806826966,1.2644766390629543,1.1244895015352319,25.101127584118665,28.94531297321883,0.01,0.26592822806826966,0.011244895015352344,0.25101127584118665,0.2894531297321883,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
15,1,1000.0,30.0,25.099720508120136,0.14157743486445235,0.3762677701643503,24.61570496000427,25.69225560574935,0.015,0.376495807621802,0.005644016552465251,0.36923557440006405,0.3853838340862402,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
20,1,1000.0,30.0,23.59294947893817,0.16114244907025524,0.4014255211994564,22.886055195315052,24.313690671115012,0.02,0.4718589895787634,0.00802851042398915,0.45772110390630105,0.48627381342230025,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
25,1,1000.0,30.0,21.362611452341394,0.09414758404819674,0.3068347829829544,20.956067752420317,21.892674793447387,0.025,0.5340652863085348,0.007670869574573818,0.523901693810508,0.5473168698361847,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
30,1,1000.0,30.0,18.848725412262215,0.09731424983617684,0.3119523198121419,18.407464459946837,19.407749229490992,0.03,0.5654617623678664,0.009358569594364242,0.5522239337984051,0.5822324768847298,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
35,1,1000.0,30.0,16.358352359370105,0.054434211105037114,0.2333114037183719,15.879590698630679,16.75881717630684,0.035,0.5725423325779537,0.008165899130143043,0.5557856744520738,0.5865586011707395,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
40,1,1000.0,30.0,14.096111003396796,0.0248576380329411,0.1576630522124353,13.789126783598553,14.304903050259366,0.04,0.5638444401358719,0.006306522088497388,0.5515650713439422,0.5721961220103746,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
45,1,1000.0,30.0,12.145772560679612,0.02259313989682096,0.1503101456882434,11.859787486614342,12.371252459571078,0.045,0.5465597652305826,0.006763956555970948,0.5336904368976454,0.5567063606806985,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
50,1,1000.0,30.0,10.450234801239592,0.017185692718594804,0.13109421313923358,10.174650547612062,10.64077494927956,0.05,0.5225117400619796,0.006554710656961699,0.5087325273806032,0.5320387474639781,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
55,1,1000.0,30.0,9.111814703102825,0.020746226838075567,0.1440355054772106,8.928615854724699,9.524608442733978,0.055,0.5011498086706554,0.00792195280124659,0.4910738720098584,0.5238534643503688,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
60,1,1000.0,30.0,7.9094559724936735,0.009027127276996167,0.09501119553503243,7.702139700969144,8.066359267122367,0.06,0.4745673583496204,0.005700671732101941,0.4621283820581486,0.483981556027342,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
