Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,0.0,27.112103489322102,3.140359046866797,1.7721058227055169,25.186118665428477,29.90989452547845,0.005,0.13556051744661052,0.008860529113527582,0.12593059332714238,0.14954947262739224,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,1,1000.0,0.0,25.897205885486862,0.35866844359508426,0.5988893416943436,25.196357053989697,26.611514468906655,0.01,0.2589720588548686,0.0059888934169434254,0.251963570539897,0.26611514468906655,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,1,1000.0,0.0,25.08337260381749,0.22235526088480753,0.4715456084885189,24.584975919750963,25.77965369148164,0.015,0.3762505890572624,0.00707318412732777,0.36877463879626443,0.3866948053722246,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,1,1000.0,0.0,23.723470335079632,0.14356186532190945,0.3788955863056595,23.215881736519826,24.43040740029023,0.02,0.4744694067015927,0.007577911726113191,0.46431763473039656,0.4886081480058046,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,1,1000.0,0.0,21.296560228116075,0.06235705067392256,0.24971393768454847,21.015227792978077,21.85171613856987,0.025,0.5324140057029019,0.006242848442113676,0.5253806948244519,0.5462929034642467,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,1,1000.0,0.0,18.77983577521838,0.06439778974108108,0.25376719595148833,18.504285817670898,19.27518352005452,0.03,0.5633950732565515,0.007613015878544619,0.5551285745301269,0.5782555056016355,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,1,1000.0,0.0,16.27657100996824,0.050736608234846624,0.22524788175440547,15.923220680437453,16.64763781293757,0.035,0.5696799853488883,0.00788367586140418,0.5573127238153109,0.582667323452815,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,1,1000.0,0.0,13.912210570635239,0.06088489096283155,0.2467486392319754,13.644592598047899,14.509216776877,0.04,0.5564884228254094,0.009869945569278976,0.545783703921916,0.5803686710750801,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,1,1000.0,0.0,11.849518232603565,0.03370392475181429,0.18358628693836118,11.536331315785624,12.07680913132986,0.045,0.5332283204671604,0.008261382912226235,0.5191349092103531,0.5434564109098436,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,1,1000.0,0.0,10.322513169081343,0.021555999382686472,0.14681961511557803,10.080545173806454,10.521146533978394,0.05,0.5161256584540672,0.007340980755778921,0.5040272586903227,0.5260573266989197,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,1,1000.0,0.0,8.924335903245135,0.0189270220136161,0.13757551385917516,8.676463181913755,9.11240251740025,0.055,0.4908384746784824,0.0075666532622546264,0.47720547500525656,0.5011821384570138,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,1,1000.0,0.0,7.7375380943797065,0.010937777990709961,0.10458383235811337,7.506138186281357,7.820868545729862,0.06,0.4642522856627824,0.0062750299414868005,0.45036829117688143,0.4692521127437917,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
