Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,0.0,26.300393836711585,1.2578735284343352,1.1215496103313198,25.25892206825393,28.934849605315218,0.005,0.13150196918355792,0.005607748051656604,0.12629461034126965,0.1446742480265761,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,1,1000.0,0.0,25.80273183244865,0.603603307881524,0.7769191128306241,24.979023343563963,27.717847721754215,0.01,0.25802731832448644,0.007769191128306242,0.24979023343563964,0.27717847721754213,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,1,1000.0,0.0,24.96212019400532,0.10898245275881611,0.33012490478425904,24.359506204801907,25.59516422420302,0.015,0.3744318029100798,0.004951873571763882,0.3653925930720286,0.3839274633630453,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,1,1000.0,0.0,23.589568750239547,0.11608551843099517,0.3407132495677196,22.93766706639764,24.16340039592968,0.02,0.47179137500479096,0.006814264991354391,0.4587533413279528,0.48326800791859365,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,1,1000.0,0.0,21.15581707693285,0.0965164245276472,0.3106709264280248,20.579883226351964,21.656099239639452,0.025,0.5288954269233213,0.007766773160700623,0.5144970806587991,0.5414024809909863,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,1,1000.0,0.0,18.88639616877681,0.060928886246863045,0.24683777313625047,18.541656177676884,19.303579510530138,0.03,0.5665918850633042,0.0074051331940875155,0.5562496853303065,0.5791073853159041,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,1,1000.0,0.0,16.221014478588813,0.028225730277101874,0.16800514955530937,15.886404632447027,16.476093749227555,0.035,0.5677355067506085,0.005880180234435803,0.556024162135646,0.5766632812229645,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,1,1000.0,0.0,13.897767641168851,0.02312525351533775,0.15206989680846683,13.539519957065465,14.14747181951347,0.04,0.555910705646754,0.006082795872338716,0.5415807982826186,0.5658988727805389,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,1,1000.0,0.0,12.022753125176704,0.026525044070928875,0.1628651100479439,11.693187097449938,12.297200633645785,0.045,0.5410238906329516,0.007328929952157416,0.5261934193852472,0.5533740285140603,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,1,1000.0,0.0,10.284199812178072,0.017813098101104156,0.1334657188236146,9.968060257362808,10.49054975623068,0.05,0.5142099906089037,0.006673285941180722,0.4984030128681404,0.524527487811534,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,1,1000.0,0.0,8.897588777816765,0.012725185475209877,0.11280596382820314,8.610475935105047,9.035859686991172,0.055,0.48936738277992203,0.006204328010551161,0.4735761764307776,0.49697228278451444,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,1,1000.0,0.0,7.709598287277304,0.029331138329496912,0.17126335956501879,7.324434432037517,7.967461027518482,0.06,0.4625758972366382,0.010275801573901124,0.439466065922251,0.4780476616511089,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
