Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,12.0,27.32827792936383,3.402720655872283,1.8446464853386633,25.111993581333987,31.360337959976796,0.005,0.13664138964681916,0.009223232426693316,0.12555996790666993,0.156801689799884,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,1,1000.0,12.0,25.900530833690862,0.5377858567500763,0.733338841702849,25.01223504624872,27.86671805637094,0.01,0.2590053083369086,0.0073333884170284636,0.2501223504624872,0.27866718056370937,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,1,1000.0,12.0,24.988432524728257,0.23949091999329872,0.4893780951302364,24.432680295623346,26.11046031050444,0.015,0.3748264878709238,0.007340671426953551,0.36649020443435015,0.3916569046575666,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,1,1000.0,12.0,23.59763670629024,0.09128812573712163,0.30213924891864286,23.012049065167673,24.11182054789073,0.02,0.4719527341258048,0.006042784978372834,0.46024098130335345,0.4822364109578146,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,1,1000.0,12.0,21.297225661438002,0.06263140667322671,0.25026267534977464,20.955361948000178,21.74616987409831,0.025,0.5324306415359501,0.006256566883744342,0.5238840487000045,0.5436542468524578,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,1,1000.0,12.0,18.63068699001099,0.01974783897662205,0.140527004439083,18.27947689104266,18.81697674739289,0.03,0.5589206097003298,0.004215810133172464,0.5483843067312798,0.5645093024217867,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,1,1000.0,12.0,16.20213899286265,0.05758816263061584,0.2399753375466234,15.735135154583801,16.510376709022808,0.035,0.5670748647501929,0.008399136814131836,0.550729730410433,0.5778631848157983,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,1,1000.0,12.0,13.834123745629993,0.03465289112347332,0.18615287030683497,13.538558908951376,14.059633299341268,0.04,0.5533649498251997,0.00744611481227339,0.541542356358055,0.5623853319736507,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,1,1000.0,12.0,11.930016890499754,0.03489426167083813,0.18680005800544638,11.611796476732906,12.286152698174728,0.045,0.5368507600724889,0.00840600261024509,0.5225308414529808,0.5528768714178628,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,1,1000.0,12.0,10.31218306776139,0.028275882369656353,0.16815434091826578,10.062325187412961,10.6742579921314,0.05,0.5156091533880695,0.008407717045913267,0.5031162593706481,0.53371289960657,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,1,1000.0,12.0,8.883190502425256,0.009086002178637276,0.09532052338629533,8.735983378102121,9.047282868964718,0.055,0.488575477633389,0.005242628786246246,0.48047908579561666,0.4976005577930595,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,1,1000.0,12.0,7.70388977513629,0.015785989774786385,0.1256423088564771,7.475744366655522,7.916247544905601,0.06,0.4622333865081773,0.007538538531388643,0.4485446619993313,0.47497485269433604,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
