Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,10.0,28.33880409105749,1.298306823788616,1.1394326762861489,26.79223473126526,30.214306373121428,0.005,0.14169402045528745,0.005697163381430746,0.13396117365632632,0.15107153186560715,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
10,2,500.0,10.0,25.30930025290293,3.4423229197563687,1.8553498106169544,20.8756880410526,27.352884833995063,0.01,0.2530930025290293,0.018553498106169547,0.208756880410526,0.2735288483399506,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
15,2,500.0,10.0,20.52326782202551,2.761762698363124,1.6618551977723943,16.20213263680539,22.533535466762014,0.015,0.3078490173303826,0.02492782796658591,0.24303198955208086,0.3380030320014302,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
20,2,500.0,10.0,17.220371689615256,1.9643426736992218,1.4015500967497458,15.115651705271432,19.360412014947414,0.02,0.34440743379230515,0.028031001934994904,0.30231303410542865,0.3872082402989483,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
25,2,500.0,10.0,14.05428732526184,4.0401797857265365,2.010019847097669,11.025384574408315,18.504923071115225,0.025,0.35135718313154596,0.05025049617744173,0.2756346143602079,0.46262307677788067,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
30,2,500.0,10.0,11.9618061099464,1.266065140480443,1.1251956009869764,10.22884959022049,14.378411861301439,0.03,0.35885418329839197,0.03375586802960929,0.3068654877066147,0.43135235583904313,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
35,2,500.0,10.0,10.305159769429498,1.1127564922823008,1.0548727374817783,8.67563863432081,11.933837862715116,0.035,0.36068059193003243,0.036920545811862236,0.3036473522012284,0.41768432519502907,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
40,2,500.0,10.0,8.80753630871314,0.39072811282605896,0.625082484817851,7.6704964277363406,9.730724492318908,0.04,0.3523014523485256,0.025003299392714045,0.30681985710945364,0.3892289796927563,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
45,2,500.0,10.0,8.078992744261672,0.5708424241638117,0.7555411465723172,6.303100844791081,9.132126770928267,0.045,0.36355467349177517,0.03399935159575426,0.28363953801559866,0.410945704691772,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
50,2,500.0,10.0,7.204434596699503,0.4353400337465799,0.6598030264757656,6.548935967058885,9.142442171908721,0.05,0.3602217298349752,0.03299015132378829,0.32744679835294427,0.45712210859543606,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
55,2,500.0,10.0,6.7442320375972065,0.274408974993035,0.5238406007489635,5.724665137448841,7.658070515137116,0.055,0.37093276206784637,0.02881123304119299,0.31485658255968624,0.42119387833254135,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
60,2,500.0,10.0,6.243803798480125,0.4733422624715393,0.6879987372601343,5.149895759756267,7.517970064715328,0.06,0.3746282279088075,0.041279924235608056,0.308993745585376,0.4510782038829197,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
