Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,0.0,26.79559349076829,12.82613117640324,3.5813588449641904,17.7206285222565,30.575943594085977,0.005,0.13397796745384144,0.017906794224820954,0.0886031426112825,0.1528797179704299,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,2,500.0,0.0,23.515694525263022,14.926351078973164,3.863463611705585,16.908064687889787,27.887867742065662,0.01,0.23515694525263023,0.03863463611705585,0.16908064687889787,0.27887867742065664,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,2,500.0,0.0,18.015992705302967,17.85994327762835,4.22610261087309,10.387702099821608,25.18383529936809,0.015,0.2702398905795445,0.06339153916309637,0.1558155314973241,0.3777575294905214,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,2,500.0,0.0,14.916951317310625,4.9475543813904554,2.2243098663159446,12.156097351299346,19.85423131932791,0.02,0.2983390263462125,0.04448619732631891,0.2431219470259869,0.39708462638655817,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,2,500.0,0.0,12.537553479782623,1.7064909488985343,1.3063272748046464,10.64084994993736,14.682706346700629,0.025,0.3134388369945656,0.032658181870116154,0.266021248748434,0.36706765866751573,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,2,500.0,0.0,9.985385107179843,2.0329108903981727,1.4258018412101217,6.837412614639196,13.218421321252828,0.03,0.2995615532153953,0.04277405523630365,0.20512237843917588,0.3965526396375848,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,2,500.0,0.0,9.074556390762142,0.43166674786587705,0.6570135066084084,7.516951137113038,9.95058808661901,0.035,0.31760947367667497,0.02299547273129428,0.26309328979895635,0.3482705830316654,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,2,500.0,0.0,7.96516584900717,0.7963509836309248,0.8923849974259568,6.375445015793007,9.117544559130677,0.04,0.3186066339602868,0.03569539989703826,0.2550178006317203,0.36470178236522705,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,2,500.0,0.0,7.016743099061852,0.5108653215521303,0.714748432353741,5.674391118155879,8.159895276351303,0.045,0.3157534394577833,0.03216367945591833,0.25534760031701453,0.36719528743580865,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,2,500.0,0.0,6.379931853711308,0.34494570643141514,0.5873207866502046,5.453654539677904,7.497534836398973,0.05,0.31899659268556546,0.029366039332510224,0.27268272698389523,0.3748767418199487,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,2,500.0,0.0,6.0849831587116325,0.2875323278000442,0.5362204097197758,5.454197463661137,7.018173952980756,0.055,0.33467407372913976,0.02949212253458767,0.2999808605013625,0.38599956741394154,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,2,500.0,0.0,5.871673988126853,0.19490881863636725,0.44148478868061497,5.042459775610477,6.564591479261748,0.06,0.3523004392876111,0.026489087320836904,0.3025475865366286,0.39387548875570483,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
