Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,10.0,27.71539099671116,3.6824116021224778,1.9189610736339802,23.2395802212159,30.759719422879908,0.005,0.13857695498355582,0.009594805368169899,0.1161979011060795,0.15379859711439955,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,2,500.0,10.0,21.997136460434096,5.919640151889274,2.4330310626642797,17.78426101833457,27.076234399443756,0.01,0.21997136460434097,0.024330310626642798,0.17784261018334568,0.27076234399443755,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,2,500.0,10.0,19.786945924781033,8.69744873398941,2.949143728947338,11.550137035486994,23.367133599142228,0.015,0.2968041888717155,0.044237155934210064,0.1732520555323049,0.3505070039871334,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,2,500.0,10.0,14.47345893968811,3.234780341924242,1.798549510556838,11.676322492183864,17.17368639849706,0.02,0.2894691787937622,0.03597099021113677,0.2335264498436773,0.34347372796994124,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,2,500.0,10.0,12.05936316738101,3.519767187319016,1.8761042581154748,8.763187317659748,15.304391569910395,0.025,0.30148407918452524,0.046902606452886866,0.21907968294149371,0.3826097892477599,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,2,500.0,10.0,10.139706063961285,0.7936031143319859,0.8908440460215166,9.101757046645224,12.219690885433725,0.03,0.30419118191883854,0.026725321380645508,0.2730527113993567,0.3665907265630117,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,2,500.0,10.0,9.05839163254591,0.9960111386109728,0.9980035764519949,7.265341499883684,11.08309157623241,0.035,0.31704370713910685,0.03493012517581981,0.254286952495929,0.3879082051681344,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,2,500.0,10.0,7.55645468636787,0.3727958968259823,0.610570140791361,6.642814206485424,8.64193807067484,0.04,0.3022581874547148,0.024422805631654446,0.26571256825941697,0.3456775228269936,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,2,500.0,10.0,6.857393564073558,0.437510878922326,0.6614460514073132,5.880629066609221,8.131217789904813,0.045,0.3085827103833101,0.02976507231332908,0.26462830799741494,0.36590480054571656,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,2,500.0,10.0,6.239269276869465,0.45603686397668836,0.6753050155127595,4.846837750853814,7.276059657021255,0.05,0.3119634638434733,0.03376525077563797,0.2423418875426907,0.3638029828510628,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,2,500.0,10.0,6.173352830391374,0.30689490279352954,0.5539809588727121,5.465858015453119,7.421067410784444,0.055,0.3395344056715255,0.030468952737999155,0.30062219084992153,0.4081587075931444,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,2,500.0,10.0,5.732963831360194,0.31722694625155484,0.5632290353413564,4.849032553984717,6.457290599195585,0.06,0.3439778298816116,0.03379374212048138,0.290941953239083,0.3874374359517351,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
