Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,30.0,27.456120814391703,10.672237504339991,3.266839069244151,21.06058053235126,32.28470680941869,0.005,0.13728060407195855,0.016334195346220756,0.1053029026617563,0.16142353404709345,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
10,2,500.0,30.0,23.451834270303614,10.834871132685175,3.2916365432236248,18.261527462831356,28.65657623642777,0.01,0.23451834270303615,0.032916365432236264,0.18261527462831356,0.2865657623642777,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
15,2,500.0,30.0,20.362884823989262,6.341256115681126,2.5181850836825173,15.787512025038676,24.429949987482914,0.015,0.3054432723598389,0.03777277625523776,0.23681268037558015,0.3664492498122437,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
20,2,500.0,30.0,16.667181270848385,3.9308350473882796,1.9826333618166219,12.824958170001358,20.984962893583194,0.02,0.33334362541696766,0.03965266723633244,0.25649916340002715,0.4196992578716639,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
25,2,500.0,30.0,13.646023798154943,2.2186822828974395,1.4895241800311398,11.536051905297734,16.814548483086387,0.025,0.34115059495387356,0.0372381045007785,0.2884012976324434,0.4203637120771597,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
30,2,500.0,30.0,11.128394759481724,1.1265188100197052,1.0613759042015722,9.476270266395792,12.904455311103042,0.03,0.33385184278445174,0.03184127712604713,0.28428810799187376,0.38713365933309124,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
35,2,500.0,30.0,10.106028159002173,0.6977751007798492,0.8353293367168719,8.515536090168546,11.292034256391329,0.035,0.35371098556507613,0.029236526785090516,0.29804376315589914,0.39522119897369656,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
40,2,500.0,30.0,9.013232720454592,0.6330198816626155,0.7956254656951445,6.957229371018004,10.405489311827854,0.04,0.36052930881818374,0.03182501862780578,0.27828917484072013,0.41621957247311414,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
45,2,500.0,30.0,8.009497491323433,0.4298488800754896,0.6556286144422692,6.373480377279557,8.897830794491114,0.045,0.36042738710955446,0.029503287649902118,0.28680661697758003,0.4004023857521001,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
50,2,500.0,30.0,7.473000296310576,0.6137725133512216,0.7834363492659896,6.146010575866951,9.125294576859288,0.05,0.37365001481552884,0.03917181746329949,0.30730052879334757,0.45626472884296443,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
55,2,500.0,30.0,6.611008192290447,0.332861251038099,0.5769412890737662,5.817782834165294,7.866671964330634,0.055,0.3636054505759746,0.031731770899057155,0.31997805587909117,0.4326669580381849,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
60,2,500.0,30.0,6.108805648884283,0.43477353213829956,0.6593735907194794,4.518430566022559,7.370068195292608,0.06,0.366528338933057,0.03956241544316876,0.2711058339613535,0.4422040917175564,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
