Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,30.0,27.23142733580744,4.096771120643534,2.0240482011660528,23.61541837918451,30.14108626408086,0.005,0.1361571366790372,0.01012024100583026,0.11807709189592255,0.15070543132040431,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,2,500.0,30.0,22.944851222241443,16.549738884233843,4.068137028694319,10.710404514905212,27.972593785579676,0.01,0.22944851222241444,0.04068137028694319,0.10710404514905213,0.27972593785579675,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,2,500.0,30.0,18.857232427413372,6.951532461904785,2.636575897239597,14.428225770086991,23.66013766180816,0.015,0.2828584864112006,0.03954863845859395,0.21642338655130486,0.3549020649271224,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,2,500.0,30.0,13.68413995085829,3.732778302083166,1.9320399328386477,10.019129347334786,17.53724917185922,0.02,0.27368279901716586,0.038640798656772946,0.20038258694669572,0.3507449834371844,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,2,500.0,30.0,11.63669271023541,1.9458570438917158,1.3949397993790684,9.54747645640705,14.426128841756622,0.025,0.29091731775588525,0.03487349498447672,0.23868691141017628,0.36065322104391556,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,2,500.0,30.0,9.733027875379445,1.7369428036436916,1.3179312590737393,6.718425642523969,11.537858991590458,0.03,0.29199083626138334,0.03953793777221219,0.20155276927571905,0.3461357697477137,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,2,500.0,30.0,9.007368561599723,0.47579524061401285,0.6897791245130668,7.885233840999261,10.353500307729057,0.035,0.3152578996559903,0.024142269357957342,0.27598318443497416,0.362372510770517,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,2,500.0,30.0,7.805287623930801,0.608126833168846,0.7798248733971275,6.262881136957574,9.246254403080512,0.04,0.31221150495723204,0.031192994935885097,0.25051524547830295,0.36985017612322046,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,2,500.0,30.0,6.826199309696832,0.5122715365293528,0.7157314695675696,5.764205919024337,8.32987516917027,0.045,0.30717896893635743,0.032207916130540616,0.25938926635609516,0.3748443826126621,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,2,500.0,30.0,6.4889078844072525,0.2987715569374513,0.5465999971985467,5.6858168714491475,7.473165205246844,0.05,0.32444539422036267,0.02732999985992734,0.2842908435724574,0.3736582602623422,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,2,500.0,30.0,5.797349045518965,0.1313884467948076,0.3624754430231207,5.12873658957915,6.375255230892756,0.055,0.31885419750354305,0.01993614936627163,0.2820805124268532,0.35063903769910154,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,2,500.0,30.0,5.769886428635773,0.31969737161405,0.5654178734476387,4.713383085917002,6.769453339249277,0.06,0.34619318571814633,0.033925072406858325,0.2828029851550201,0.4061672003549566,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
