Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,20.0,27.61642547395433,5.836856919824498,2.41595879928125,22.80284911461284,31.466241147133466,0.005,0.13808212736977163,0.012079793996406251,0.11401424557306421,0.15733120573566733,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,2,500.0,20.0,23.765548239529576,10.199297727496063,3.19363393761653,17.408149039583314,26.718232255333078,0.01,0.23765548239529577,0.0319363393761653,0.17408149039583315,0.2671823225533308,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,2,500.0,20.0,19.100498370215917,6.474039477299249,2.5444133856940874,14.552861215424844,24.449772838822778,0.015,0.28650747555323874,0.038166200785411296,0.21829291823137265,0.36674659258234166,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,2,500.0,20.0,14.82677581768345,7.337233779899556,2.7087328734852307,10.259166881866093,18.594003637339725,0.02,0.2965355163536689,0.054174657469704644,0.20518333763732188,0.3718800727467945,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,2,500.0,20.0,11.836023406979724,1.4559537506383011,1.2066290857750368,9.870270792673939,14.159003099543689,0.025,0.2959005851744931,0.030165727144375903,0.24675676981684846,0.35397507748859225,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,2,500.0,20.0,9.964462539726505,1.4320999492718645,1.1967037850996647,7.538958939813937,11.51112067794049,0.03,0.2989338761917952,0.03590111355298995,0.2261687681944181,0.3453336203382147,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,2,500.0,20.0,9.054269181972114,0.9543363032269704,0.9769013784548419,7.292523704376449,10.903547240630218,0.035,0.31689942136902405,0.034191548245919474,0.2552383296531757,0.38162415342205763,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,2,500.0,20.0,7.975880096459366,0.8166140901815463,0.9036670239538158,6.081089763638297,9.565290688569863,0.04,0.3190352038583747,0.03614668095815263,0.24324359054553188,0.38261162754279454,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,2,500.0,20.0,7.127368935370215,0.6895196202232617,0.8303731813005896,6.077780883830619,8.322953291462694,0.045,0.32073160209165963,0.03736679315852653,0.27350013977237786,0.37453289811582124,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,2,500.0,20.0,6.543075004163047,0.30287823592992863,0.5503437434276224,5.632242784516608,7.612795431670435,0.05,0.3271537502081524,0.027517187171381127,0.2816121392258304,0.38063977158352175,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,2,500.0,20.0,6.105069363167825,0.1355134133133469,0.3681214654340968,5.518355454176829,6.874468731694215,0.055,0.3357788149742304,0.020246680598875313,0.3035095499797256,0.3780957802431818,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,2,500.0,20.0,5.759393407229023,0.3693801780499601,0.6077665489725147,4.914072850025652,6.951135358885703,0.06,0.34556360443374134,0.03646599293835087,0.2948443710015391,0.41706812153314216,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
