Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,40.0,28.197341110128114,4.566311679377153,2.136892996707405,22.724682206435535,31.623313747553915,0.005,0.14098670555064058,0.010684464983537024,0.11362341103217767,0.15811656873776958,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
10,2,500.0,40.0,24.29056093266653,5.569904930941635,2.3600646031288286,19.588320746083344,28.28810838957716,0.01,0.2429056093266653,0.023600646031288294,0.19588320746083343,0.2828810838957716,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
15,2,500.0,40.0,20.329692325339217,6.700649758450632,2.5885613298607844,15.515491794678676,24.34232752939412,0.015,0.3049453848800882,0.038828419947911766,0.23273237692018012,0.36513491294091177,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
20,2,500.0,40.0,16.258532948131712,4.495021407039237,2.1201465531984427,11.926722439117508,20.063550663273883,0.02,0.3251706589626343,0.04240293106396887,0.23853444878235017,0.40127101326547765,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
25,2,500.0,40.0,13.362709251124974,2.339496101794441,1.5295411409290176,10.06736104295579,15.535058365161976,0.025,0.33406773127812434,0.03823852852322545,0.2516840260738948,0.38837645912904945,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
30,2,500.0,40.0,11.640741735484573,2.7278590918205405,1.6516231688313592,8.87152425387018,14.915554422083982,0.03,0.3492222520645372,0.04954869506494078,0.26614572761610544,0.44746663266251946,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
35,2,500.0,40.0,9.921056336971153,0.7524657518870812,0.8674478381361506,7.635649752773459,11.453713870987194,0.035,0.3472369717939904,0.030360674334765272,0.2672477413470711,0.40087998548455184,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
40,2,500.0,40.0,8.955847511856481,0.46229506953202626,0.67992284086654,7.515841595198187,10.595148631788733,0.04,0.35823390047425924,0.02719691363466161,0.3006336638079275,0.42380594527154936,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
45,2,500.0,40.0,7.837423316408499,0.41443680251107395,0.6437676619022378,6.853373983624274,9.482125670742443,0.045,0.35268404923838237,0.028969544785600692,0.30840182926309234,0.4266956551834099,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
50,2,500.0,40.0,7.3508734142653545,0.4724225531551422,0.6873300176444662,5.9185887009511475,8.600822622950458,0.05,0.3675436707132677,0.03436650088222332,0.29592943504755737,0.43004113114752296,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
55,2,500.0,40.0,6.655357263359575,0.25111598812242114,0.5011147454649695,5.556689244122037,7.602905450468431,0.055,0.3660446494847766,0.0275613110005733,0.30561790842671205,0.41815979977576373,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
60,2,500.0,40.0,6.324349775133867,0.2766978413274373,0.5260207613083702,5.46135668113304,7.334456225594797,0.06,0.379460986508032,0.031561245678502214,0.3276814008679824,0.4400673735356878,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
65,2,500.0,40.0,5.887748937294793,0.41583995710837757,0.6448565399438682,4.702714274824113,7.04629896736186,0.065,0.38270368092416157,0.04191567509635143,0.30567642786356736,0.4580094328785209,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
70,2,500.0,40.0,5.705452667069068,0.29738357162429746,0.5453288655703983,4.9127250340737145,6.990021241240712,0.07,0.3993816866948348,0.03817302058992789,0.34389075238516004,0.48930148688684993,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
