Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,10.0,26.95836347979771,10.98124405821374,3.313796019403388,16.702373788950933,30.935707695801444,0.005,0.13479181739898857,0.016568980097016944,0.08351186894475467,0.15467853847900723,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
10,2,500.0,10.0,24.06124035668491,8.06730188205429,2.840299611318195,18.50657056828912,28.975639217911294,0.01,0.24061240356684913,0.02840299611318194,0.1850657056828912,0.2897563921791129,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
15,2,500.0,10.0,19.731680064601836,6.282446210265194,2.506480841790975,15.438644820130277,24.477696496206686,0.015,0.2959752009690275,0.0375972126268646,0.23157967230195414,0.36716544744310026,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
20,2,500.0,10.0,15.790470594891133,4.420747077207094,2.102557270850688,12.713222163033528,20.439523402773236,0.02,0.31580941189782263,0.04205114541701375,0.25426444326067055,0.40879046805546476,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
25,2,500.0,10.0,12.828382664460285,3.162685778886848,1.7783941573472535,8.254780941320512,16.212499667050974,0.025,0.3207095666115071,0.044459853933681334,0.2063695235330128,0.40531249167627437,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
30,2,500.0,10.0,10.98942160828983,1.4841714294240735,1.218265746634975,8.735575833863559,13.016322660824736,0.03,0.32968264824869487,0.03654797239904925,0.26206727501590676,0.3904896798247421,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
35,2,500.0,10.0,9.840002805106955,0.9114048284248539,0.9546752476234281,8.314113572730529,11.972255006020427,0.035,0.34440009817874345,0.033413633666820014,0.2909939750455685,0.419028925210715,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
40,2,500.0,10.0,7.988847186752564,0.7545255955729984,0.8686343278808398,6.507099754767504,9.467067087588301,0.04,0.3195538874701026,0.03474537311523359,0.26028399019070014,0.37868268350353207,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
45,2,500.0,10.0,7.271051780650428,0.5067008439061682,0.7118292238354423,5.546555771600611,8.69220319813716,0.045,0.32719733012926927,0.032032315072594915,0.24959500972202747,0.39114914391617217,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
50,2,500.0,10.0,6.821757855647645,0.24762475437283835,0.4976190856195513,5.887801202382158,7.68246648963186,0.05,0.3410878927823823,0.024880954280977568,0.2943900601191079,0.38412332448159303,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
55,2,500.0,10.0,6.312828764096048,0.17319948638865848,0.4161724238685914,5.417721624327169,7.292250745454383,0.055,0.3472055820252827,0.022889483312772515,0.2979746893379943,0.4010737909999911,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
60,2,500.0,10.0,6.080642859058358,0.31618834254701594,0.562306271125457,4.569346955617673,7.306323005025528,0.06,0.3648385715435014,0.03373837626752741,0.2741608173370604,0.4383793803015317,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
65,2,500.0,10.0,5.571230195467858,0.23732552375753385,0.4871606755040208,4.401198882508804,6.5964196464467015,0.065,0.36212996270541076,0.031665443907761354,0.28607792736307225,0.4287672770190356,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
70,2,500.0,10.0,5.57192309111307,0.3139382196456407,0.5603019004480002,4.4178681406699,6.651469377376038,0.07,0.390034616377915,0.039221133031360024,0.30925076984689304,0.46560285641632265,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
