Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,10.0,27.120903674786682,7.286123948598878,2.6992821172672703,18.521465745929184,31.240404302435877,0.005,0.13560451837393342,0.01349641058633636,0.09260732872964593,0.15620202151217938,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,2,500.0,10.0,24.356381872884228,10.940748785703951,3.3076802725934606,13.961020812154834,28.010027441316463,0.01,0.24356381872884228,0.033076802725934606,0.13961020812154834,0.28010027441316465,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,2,500.0,10.0,18.750503166104117,12.816277654791298,3.57998291263957,11.356372569588988,25.05043498105529,0.015,0.28125754749156173,0.05369974368959356,0.1703455885438348,0.3757565247158293,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,2,500.0,10.0,14.862838605823901,5.187860523033139,2.2776875384988915,9.604136966375531,18.03007139742409,0.02,0.29725677211647805,0.04555375076997783,0.19208273932751063,0.3606014279484818,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,2,500.0,10.0,12.50562880537668,1.9283482787218396,1.388649804206172,10.591053290544217,16.00247108054233,0.025,0.312640720134417,0.03471624510515431,0.2647763322636054,0.4000617770135582,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,2,500.0,10.0,9.95257052655249,1.281113864645437,1.1318630061299102,8.2411986086994,12.014607017001872,0.03,0.2985771157965747,0.0339558901838973,0.24723595826098196,0.36043821051005615,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,2,500.0,10.0,9.07911066074943,0.7650674121660921,0.8746813203482123,7.302662879210687,10.48352552150295,0.035,0.3177688731262301,0.030613846212187417,0.2555932007723741,0.36692339325260326,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,2,500.0,10.0,7.714770917388822,0.8151253153514832,0.9028429073496027,6.301652359186424,9.473581837439834,0.04,0.3085908366955529,0.0361137162939841,0.25206609436745697,0.3789432734975934,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,2,500.0,10.0,6.642148822822412,0.21684107462343247,0.46566197463764686,5.81949808392832,7.528827665102306,0.045,0.29889669702700855,0.020954788858694107,0.26187741377677437,0.3387972449296038,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,2,500.0,10.0,6.643990560641665,0.4903501054970851,0.7002500307012383,5.324156589565307,8.712350425822098,0.05,0.33219952803208325,0.035012501535061906,0.2662078294782654,0.4356175212911049,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,2,500.0,10.0,6.171030444383613,0.3028838376248542,0.5503488326732912,5.028570875983671,7.478011214387368,0.055,0.3394066744410987,0.030269185797031004,0.27657139817910187,0.41129061679130524,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,2,500.0,10.0,5.649591309362207,0.3003390490087485,0.5480319780895532,4.7199182341164265,6.891849688984709,0.06,0.3389754785617324,0.0328819186853732,0.28319509404698556,0.41351098133908254,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
65,2,500.0,10.0,5.413285136988645,0.21256760518484588,0.46105054515188015,4.618197537066895,6.360292574639574,0.065,0.35186353390426195,0.0299682854348722,0.3001828399093482,0.4134190173515723,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
70,2,500.0,10.0,5.425462299002945,0.39509102849293865,0.6285626687076943,4.209920759659123,6.7226274240879995,0.07,0.3797823609302062,0.0439993868095386,0.2946944531761386,0.47058391968616003,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
