Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,2,500.0,0.0,27.86675452192885,8.683374470903527,2.9467566019105695,18.66700934726986,31.23641784939653,0.005,0.13933377260964427,0.014733783009552845,0.0933350467363493,0.15618208924698265,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,2,500.0,0.0,23.370520313476927,9.721236656266285,3.1178897761573108,15.757839261902925,28.547005226098644,0.01,0.2337052031347693,0.03117889776157311,0.15757839261902926,0.28547005226098643,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,2,500.0,0.0,18.617715873989017,9.23758856014149,3.039340152095762,13.544608462335542,24.80369963270163,0.015,0.2792657381098352,0.045590102281436444,0.20316912693503314,0.37205549449052444,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,2,500.0,0.0,15.144429318725757,5.944816838263533,2.438199507477502,11.305801515858022,22.526002254810216,0.02,0.30288858637451516,0.04876399014955004,0.22611603031716043,0.4505200450962043,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,2,500.0,0.0,11.717803892802209,2.0777854779996416,1.4414525583589777,8.847962218467478,14.278936001989063,0.025,0.2929450973200553,0.03603631395897445,0.22119905546168694,0.3569734000497266,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,2,500.0,0.0,10.08380049589362,2.6279207284586823,1.6210862803869146,6.92955102675166,14.066759968168357,0.03,0.30251401487680857,0.04863258841160743,0.2078865308025498,0.4220027990450507,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,2,500.0,0.0,8.927990292088895,0.7977699520853486,0.8931796863371606,7.108004346854246,10.444792444957264,0.035,0.3124796602231113,0.03126128902180063,0.24878015213989862,0.36556773557350425,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,2,500.0,0.0,7.802239932262036,1.070251280642544,1.0345294972317338,5.8304710288254835,10.306896662723343,0.04,0.3120895972904814,0.04138117988926936,0.23321884115301936,0.4122758665089337,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,2,500.0,0.0,7.3333483980265175,0.7797233526799091,0.8830194520393699,5.524594765587111,9.337079724712948,0.045,0.33000067791119325,0.03973587534177164,0.24860676445141996,0.42016858761208264,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,2,500.0,0.0,6.350149735562974,0.4817255019697606,0.6940644796917362,5.2599754102314,8.383750477581891,0.05,0.31750748677814866,0.03470322398458682,0.26299877051157,0.4191875238790946,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,2,500.0,0.0,6.053191143536481,0.33266755580945073,0.5767734007471658,4.889106804903887,7.026972783216076,0.055,0.3329255128945065,0.03172253704109413,0.26890087426971376,0.38648350307688417,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,2,500.0,0.0,5.678916793370212,0.3501715744555825,0.5917529674243995,4.828884515336963,6.9111381465637,0.06,0.3407350076022127,0.03550517804546397,0.2897330709202178,0.414668288793822,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
65,2,500.0,0.0,5.438973905542642,0.21786461384212824,0.4667596960344029,4.352578300559744,6.863635488644037,0.065,0.35353330386027176,0.030339380242236192,0.28291758953638335,0.4461363067618624,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
70,2,500.0,0.0,5.399437161390737,0.3395632625070497,0.5827205698334749,4.5052143801436095,6.801355906213602,0.07,0.3779606012973516,0.040790439888343265,0.3153650066100527,0.4760949134349522,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
