Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %,Variance of Average Speed,Standard Deviation of Average Speed,Standard Deviation of Flow
5,2,500.0,25.0,27.678986312867558,19.350449568480066,31.930567097399393,0.005,0.13839493156433777,0.09675224784240033,0.15965283548699696,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.4458582472539834,0.6012192294109494,0.0060121922941094984
10,2,500.0,25.0,23.240188947001332,16.829966274561627,28.586938891216658,0.01,0.23240188947001333,0.16829966274561628,0.28586938891216657,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.8815611559265824,0.8487580862540548,0.0169751617250811
15,2,500.0,25.0,18.030556656176774,11.64463286605348,24.38710493694735,0.015,0.27045834984265155,0.17466949299080217,0.36580657405421024,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,2.0566241561372625,0.7170467481512733,0.0215114024445382
20,2,500.0,25.0,15.005231260166797,10.570764086107836,20.168457770946233,0.02,0.300104625203336,0.21141528172215673,0.40336915541892465,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,1.8202241770068919,0.6745784196457243,0.02698313678582897
25,2,500.0,25.0,11.767520240266302,9.591565041624165,15.6300303449286,0.025,0.29418800600665757,0.23978912604060412,0.39075075862321507,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.5562694535935135,0.3729173680567565,0.01864586840283783
30,2,500.0,25.0,9.970069035714179,8.133958916561637,12.63765229373723,0.03,0.2991020710714254,0.24401876749684911,0.37912956881211685,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.2839772789973084,0.2664475928758357,0.015986855572550144
35,2,500.0,25.0,8.81485137099566,6.359817224422693,10.312776529263015,0.035,0.30851979798484813,0.2225936028547943,0.36094717852420555,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.16391775495603256,0.20243378853098645,0.01417036519716904
40,2,500.0,25.0,7.848877350432473,6.433359408923965,9.075554420288302,0.04,0.31395509401729893,0.2573343763569586,0.3630221768115321,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.11762652507658439,0.1714836180780721,0.013718689446245765
45,2,500.0,25.0,6.778738114991353,5.59807313603649,7.764536666386058,0.045,0.3050432151746109,0.251913291121642,0.34940414998737257,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.1037939076772032,0.16108530944596033,0.014497677850136424
50,2,500.0,25.0,6.623392200089447,5.678796744407148,8.183919264185045,0.05,0.3311696100044724,0.28393983722035737,0.4091959632092523,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.11959777649218885,0.1729145572907244,0.017291455729072452
55,2,500.0,25.0,5.905343943709989,5.303146339704671,6.846340303233457,0.055,0.32479391690404935,0.29167304868375693,0.3765487166778401,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06301996843150917,0.12551889143821057,0.013807078058203172
60,2,500.0,25.0,5.37951948758245,4.340025398234018,6.193687554503196,0.06,0.322771169254947,0.2604015238940411,0.37162125327019174,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.0475514948143526,0.10903152619122668,0.013083783142947197
65,2,500.0,25.0,5.573925873132269,4.710649214485354,6.7955945680951375,0.065,0.36230518175359744,0.30619219894154803,0.441713646926184,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05567224530109956,0.11797483344033544,0.01533672834724361
70,2,500.0,25.0,5.247542442875068,4.471337387937907,6.315862307921668,0.07,0.3673279710012548,0.3129936171556535,0.4421103615545168,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.06278833206136282,0.12528800028470685,0.017540320039858965
75,2,500.0,25.0,5.109976720850862,4.198851060591224,6.144818778064205,0.075,0.38324825406381463,0.3149138295443418,0.46086140835481537,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05172242713851976,0.11371282594602045,0.01705692389190306
80,2,500.0,25.0,5.0412823628389045,4.3312113788013,6.776194825682215,0.08,0.4033025890271124,0.346496910304104,0.5420955860545772,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.0680179070644626,0.1304012145883452,0.02086419433413524
90,2,500.0,25.0,4.72414575829423,3.5823045366184414,6.1286966668174525,0.09,0.42517311824648074,0.3224074082956597,0.5515827000135707,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.10692920423093454,0.16350015613978366,0.029430028105161047
95,2,500.0,25.0,4.765787406609155,3.735055900505203,6.045071173917122,0.095,0.45274980362786976,0.3548303105479943,0.5742817615221266,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.0605754381493967,0.12306038979846104,0.023381474061707597
100,2,500.0,25.0,4.748321800641469,4.052250043679835,6.048647294957534,0.1,0.474832180064147,0.4052250043679835,0.6048647294957534,120.0,0.5,50,0.0,100.0,0.0,0.0,0.0,0.05954641487143466,0.1220106705081923,0.02440213410163844
