Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,0.0,26.717398549115405,1.8318479140604396,1.3534577622003723,25.059537858405463,29.535161326052183,0.005,0.133586992745577,0.006767288811001861,0.1252976892920273,0.14767580663026092,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
10,1,1000.0,0.0,25.425563760963623,0.04559314961587196,0.21352552450672485,25.158544375965665,25.72744994396057,0.01,0.2542556376096362,0.0021352552450672577,0.25158544375965664,0.2572744994396057,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
15,1,1000.0,0.0,25.28797217347644,0.31047728790526263,0.5572048886229038,24.409767472728664,26.109103671170388,0.015,0.3793195826021466,0.008358073329343522,0.36614651209092997,0.3916365550675558,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
20,1,1000.0,0.0,23.716507693585605,0.11660577359447316,0.34147587556732784,23.192478124910718,24.222543427365444,0.02,0.47433015387171207,0.006829517511346563,0.46384956249821435,0.4844508685473089,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
25,1,1000.0,0.0,21.559458268334243,0.08944973616670301,0.2990814875024916,21.176631759916255,22.090234501058646,0.025,0.5389864567083561,0.007477037187562287,0.5294157939979064,0.5522558625264662,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
30,1,1000.0,0.0,18.900865602914603,0.04183494138262456,0.20453591709678903,18.484958681327225,19.13371226359426,0.03,0.5670259680874381,0.006136077512903679,0.5545487604398167,0.5740113679078277,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
35,1,1000.0,0.0,16.479490436841395,0.0516838506335781,0.22734082482822593,16.116992382132807,16.861928892318986,0.035,0.5767821652894488,0.007956928868987898,0.5640947333746483,0.5901675112311645,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
40,1,1000.0,0.0,14.279410075826608,0.1049665115267748,0.32398535696351277,13.656534013881181,14.655406410390324,0.04,0.5711764030330643,0.01295941427854052,0.5462613605552472,0.5862162564156129,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
45,1,1000.0,0.0,12.375589720145552,0.05562110244843569,0.2358412653638792,12.073681906746451,12.758770651042877,0.045,0.5569015374065498,0.010612856941374565,0.5433156858035902,0.5741446792969295,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
50,1,1000.0,0.0,10.690685333225378,0.026374600258984814,0.16240258698365864,10.4466815763121,10.92736513752705,0.05,0.5345342666612689,0.008120129349182948,0.522334078815605,0.5463682568763525,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
55,1,1000.0,0.0,9.299420801962473,0.029146207294573907,0.1707226033499194,9.060504986981151,9.58412510289453,0.055,0.511468144107936,0.009389743184245566,0.4983277742839633,0.5271268806591992,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
60,1,1000.0,0.0,8.127635736254053,0.0034276761786142793,0.05854635922595255,8.047280656706835,8.212055670512457,0.06,0.48765814417524317,0.0035127815535571146,0.4828368394024101,0.49272334023074743,150.0,0.5,50,100.0,0.0,0.0,0.0,0.0
