Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,10.0,26.489580105856202,1.4246339172371987,1.1935802935861495,25.009552538922314,29.85001466962881,0.005,0.13244790052928102,0.0059679014679307465,0.12504776269461157,0.14925007334814405,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
10,1,1000.0,10.0,25.897002474549655,0.5208602138565108,0.7217064596194985,25.113813656346366,27.979958073205488,0.01,0.2589700247454966,0.007217064596194999,0.2511381365634637,0.2797995807320549,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
15,1,1000.0,10.0,25.2753025311264,0.4815404079264796,0.6939311262124503,24.413808545004635,26.702628499982474,0.015,0.379129537966896,0.010408966893186749,0.3662071281750695,0.4005394274997371,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
20,1,1000.0,10.0,23.618295188670533,0.11954024243891216,0.345745921796501,23.043788386873107,24.430132986639087,0.02,0.4723659037734107,0.006914918435930026,0.46087576773746214,0.4886026597327818,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
25,1,1000.0,10.0,21.18147654886591,0.07841057282911187,0.2800188794154992,20.529440033388546,21.66921140851521,0.025,0.5295369137216477,0.007000471985387465,0.5132360008347137,0.5417302852128802,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
30,1,1000.0,10.0,18.70828102042477,0.09764410899347507,0.3124805737857556,18.14697467646724,19.180767482066774,0.03,0.5612484306127431,0.009374417213572657,0.5444092402940173,0.5754230244620032,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
35,1,1000.0,10.0,16.256043535408526,0.0923783786956978,0.30393811655614666,15.861317701554949,16.814773415314544,0.035,0.5689615237392985,0.010637834079465157,0.5551461195544233,0.5885170695360091,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
40,1,1000.0,10.0,14.023875032403925,0.06034112566188614,0.24564430720431146,13.701214258342919,14.74192560011887,0.04,0.560955001296157,0.009825772288172436,0.5480485703337168,0.5896770240047549,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
45,1,1000.0,10.0,12.125210597716414,0.011676177158910037,0.10805636102937224,11.961363981977899,12.262573575977465,0.045,0.5456344768972385,0.0048625362463217015,0.5382613791890054,0.5518158109189859,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
50,1,1000.0,10.0,10.507215067893611,0.03425447269993738,0.18507963880431952,10.246750675474484,10.877869641519942,0.05,0.5253607533946806,0.009253981940215992,0.5123375337737243,0.5438934820759971,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
55,1,1000.0,10.0,9.078069198016431,0.01954091121882742,0.13978880934762775,8.744841881772418,9.317231484954824,0.055,0.4992938058909037,0.007688384514119521,0.480966303497483,0.5124477316725153,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
60,1,1000.0,10.0,7.9574234511949875,0.022092545161636702,0.14863561202362205,7.566745782292295,8.167612835219506,0.06,0.47744540707169925,0.008918136721417327,0.4540047469375377,0.49005677011317034,150.0,0.5,50,50.0,50.0,0.0,0.0,0.0
