Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,40.0,26.991508167007673,5.837401174369317,2.4160714340369402,25.273617014474578,31.786944681819527,0.005,0.13495754083503836,0.012080357170184705,0.1263680850723729,0.15893472340909764,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,1,1000.0,40.0,25.797065614737313,0.32733788739403963,0.5721345011394083,25.08278805162515,26.614904187186863,0.01,0.25797065614737313,0.005721345011394066,0.2508278805162515,0.2661490418718686,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,1,1000.0,40.0,25.280189655783452,0.30144784776526,0.5490426647950595,24.777410302245947,26.496472798757928,0.015,0.37920284483675176,0.008235639971925904,0.3716611545336892,0.3974470919813689,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,1,1000.0,40.0,23.570339801692857,0.0626910685805815,0.25038184554911624,23.167589630302608,24.112690927160006,0.02,0.47140679603385716,0.005007636910982324,0.4633517926060522,0.48225381854320015,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,1,1000.0,40.0,21.220661140818937,0.06797881244689265,0.26072746776450817,20.89477329616324,21.645541896127042,0.025,0.5305165285204735,0.0065181866941127235,0.522369332404081,0.5411385474031761,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,1,1000.0,40.0,18.65509008490448,0.1273767771019979,0.35689883314743115,18.20395390341086,19.368857644122656,0.03,0.5596527025471344,0.010706964994422924,0.5461186171023258,0.5810657293236796,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,1,1000.0,40.0,16.18233775292895,0.054254287262758945,0.23292549723625997,15.775696866973428,16.434740987446073,0.035,0.5663818213525134,0.008152392403269086,0.5521493903440701,0.5752159345606126,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,1,1000.0,40.0,13.947711927279187,0.030730971286449176,0.17530251363414381,13.66276862987777,14.213130830255352,0.04,0.5579084770911675,0.007012100545365719,0.5465107451951108,0.5685252332102141,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,1,1000.0,40.0,11.992559987699838,0.03349864856862961,0.18302636031082956,11.752268660583114,12.320477540325454,0.045,0.5396651994464927,0.008236186213987336,0.5288520897262401,0.5544214893146454,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,1,1000.0,40.0,10.23909174168546,0.00925690447994499,0.09621280829465997,10.111106581406673,10.381887212002386,0.05,0.511954587084273,0.004810640414733018,0.5055553290703337,0.5190943606001194,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,1,1000.0,40.0,8.920486411650739,0.025947202460167636,0.161081353545864,8.68255736636932,9.2009746202188,0.055,0.49062675264079064,0.008859474445022513,0.4775406551503126,0.5060536041120339,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,1,1000.0,40.0,7.7263587161300435,0.0053107083413477495,0.07287460697216658,7.608781583450274,7.873983203433734,0.06,0.46358152296780253,0.0043724764183299784,0.45652689500701643,0.47243899220602403,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
