Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,6.0,26.919548289866327,2.153721913544985,1.467556443052527,25.237344519572417,30.755465036124708,0.005,0.13459774144933165,0.007337782215262627,0.1261867225978621,0.15377732518062354,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,1,1000.0,6.0,25.59531113134848,0.18427976881040772,0.42927819512573395,25.157789957603306,26.551788730258824,0.01,0.2559531113134848,0.004292781951257349,0.25157789957603305,0.26551788730258824,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,1,1000.0,6.0,25.136763413082118,0.06666550500029798,0.2581966401801115,24.59729440600619,25.593299672626962,0.015,0.3770514511962317,0.0038729496027016803,0.3689594160900928,0.3838994950894044,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,1,1000.0,6.0,23.568827869565656,0.07205708945068627,0.2684345161313766,23.038936615978333,24.259946527432827,0.02,0.47137655739131307,0.005368690322627523,0.4607787323195667,0.48519893054865654,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,1,1000.0,6.0,21.369986231438848,0.10440570662391001,0.3231187190862052,20.805266504773275,22.080523051460055,0.025,0.5342496557859712,0.00807796797715514,0.5201316626193319,0.5520130762865014,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,1,1000.0,6.0,18.80502217497584,0.05184958721726555,0.22770504433864777,18.218023084682788,19.100610658481962,0.03,0.5641506652492752,0.006831151330159434,0.5465406925404837,0.5730183197544588,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,1,1000.0,6.0,16.244177643813877,0.12901832040700797,0.35919120313143527,15.791898273474635,16.880212641361037,0.035,0.5685462175334858,0.012571692109600227,0.5527164395716123,0.5908074424476364,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,1,1000.0,6.0,13.830317015412135,0.059074237909004075,0.2430519243063179,13.3058708434564,14.295606188835226,0.04,0.5532126806164854,0.009722076972252741,0.532234833738256,0.5718242475534091,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,1,1000.0,6.0,12.05020553831189,0.0448770792311457,0.2118421092019849,11.60173008715978,12.396807081717899,0.045,0.5422592492240349,0.009532894914089323,0.5220778539221901,0.5578563186773055,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,1,1000.0,6.0,10.377492921608951,0.014639273556235488,0.12099286572453555,10.12101416700616,10.596441875729738,0.05,0.5188746460804475,0.00604964328622678,0.5060507083503081,0.5298220937864869,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,1,1000.0,6.0,8.885900174330438,0.020946184079092458,0.14472796578095215,8.705214834341868,9.182986822450514,0.055,0.4887245095881741,0.007960038117952366,0.47878681588880273,0.5050642752347783,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,1,1000.0,6.0,7.6855259458560345,0.0174472313068857,0.13208796806252152,7.462607221618346,7.916674740697512,0.06,0.4611315567513621,0.007925278083751286,0.44775643329710074,0.47500048444185067,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
