Number of Vehicles,Number of Lanes,Road Length,Percentage of Distracted Vehicles,Average Speed,Variance of Average Speed,Standard Deviation of Average Speed,Minimum Average Speed,Maximum Average Speed,Density,Average Flow,Standard Deviation of Flow,Minimum Flow,Maximum Flow,Simulation Time (s),Time Step (s),Animation Interval (ms),Aggressive %,Normal %,Cautious %,Polite %,Submissive %
5,1,1000.0,2.0,26.714593631297387,2.0306779965194974,1.425018595148673,25.076913167979818,29.891990258678277,0.005,0.13357296815648695,0.007125092975743366,0.1253845658398991,0.14945995129339137,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
10,1,1000.0,2.0,26.206335899527957,1.9967627996117674,1.4130685756932562,25.060727084001094,29.883540329594958,0.01,0.26206335899527955,0.014130685756932567,0.25060727084001094,0.2988354032959496,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
15,1,1000.0,2.0,25.129004560348395,0.14965825224204707,0.38685688858032125,24.45203197824575,25.978752530822895,0.015,0.3769350684052259,0.005802853328704819,0.3667804796736862,0.3896812879623434,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
20,1,1000.0,2.0,23.61830646681827,0.11573605220838379,0.3402000179429504,23.09727956850297,24.07371887132577,0.02,0.4723661293363654,0.0068040003588590026,0.4619455913700594,0.4814743774265154,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
25,1,1000.0,2.0,21.39422528400318,0.10871364624610579,0.3297175249302132,20.76824988775797,21.83175304018453,0.025,0.5348556321000795,0.008242938123255345,0.5192062471939493,0.5457938260046132,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
30,1,1000.0,2.0,18.646426183107923,0.09363638358000512,0.30600062676407236,18.169758022486274,19.281058500239723,0.03,0.5593927854932377,0.009180018802922185,0.5450927406745882,0.5784317550071917,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
35,1,1000.0,2.0,16.19057341661259,0.12825108348178899,0.3581216043214776,15.62308491905106,16.906503465560277,0.035,0.5666700695814407,0.012534256151251678,0.5468079721667871,0.5917276212946098,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
40,1,1000.0,2.0,13.955134376756961,0.043841314416947455,0.2093831760599391,13.369667885880506,14.208275453467996,0.04,0.5582053750702783,0.008375327042397558,0.5347867154352203,0.5683310181387199,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
45,1,1000.0,2.0,12.071112645113685,0.05264208290340529,0.22943862556990113,11.596162760629065,12.510188692999392,0.045,0.5432000690301158,0.010324738150645558,0.5218273242283079,0.5629584911849727,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
50,1,1000.0,2.0,10.29214118423884,0.018190029509304564,0.1348704174728638,10.122250827454923,10.582624959364948,0.05,0.514607059211942,0.006743520873643195,0.5061125413727462,0.5291312479682474,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
55,1,1000.0,2.0,8.902553727165488,0.01602606604329387,0.12659409955955242,8.738208182746902,9.161078052474195,0.055,0.48964045499410186,0.006962675475775385,0.4806014500510796,0.5038592928860808,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
60,1,1000.0,2.0,7.714953249512971,0.014468812160799852,0.12028637562417388,7.546050257663082,7.965517937248301,0.06,0.4628971949707782,0.007217182537450423,0.4527630154597849,0.47793107623489806,150.0,0.5,50,0.0,100.0,0.0,0.0,0.0
